lead_id,lead_created_date,dealership_id,customer_id,vehicle_model_id,lead_source_id,campaign_id,assigned_employee_id,sale_id,lead_count,first_response_seconds,is_contacted,is_appointment_set,is_appointment_shown,is_sold,is_duplicate,original_lead_id,days_to_sale,source_system
LED-000000025,2025-07-01,GSA-001,CUS-00000240,VMD-00011,LDS-016,,EMP-00001,,1,1850,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000026,2025-07-01,GSA-001,CUS-00001250,VMD-00070,LDS-018,,EMP-00010,,1,6668,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000027,2025-07-01,GSA-001,CUS-00000900,VMD-00011,LDS-001,,EMP-00006,,1,512,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000028,2025-07-01,GSA-003,CUS-00000220,VMD-00007,LDS-002,,EMP-00025,,1,4186,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000029,2025-07-01,GSA-002,CUS-00000978,VMD-00032,LDS-017,,EMP-00016,SLE-00000020,1,1413,true,true,true,true,false,,6,arpi_synthetic_generator
LED-000000030,2025-07-01,GSA-002,CUS-00002348,VMD-00118,LDS-016,,EMP-00018,SLE-00000141,1,2618,true,false,false,true,false,,35,arpi_synthetic_generator
LED-000000031,2025-07-01,GSA-002,CUS-00000866,VMD-00031,LDS-007,CMP-00021,EMP-00019,,1,1599,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000032,2025-07-01,GSA-001,CUS-00002456,VMD-00028,LDS-009,,EMP-00011,,1,,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000033,2025-07-01,GSA-001,CUS-00000322,VMD-00090,LDS-015,,EMP-00003,SLE-00000221,1,161,true,false,false,true,false,,53,arpi_synthetic_generator
LED-000000034,2025-07-01,GSA-001,CUS-00001168,VMD-00089,LDS-007,,EMP-00011,,1,,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000035,2025-07-01,GSA-002,CUS-00001069,VMD-00017,LDS-007,,EMP-00019,,1,9802,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000036,2025-07-01,GSA-003,CUS-00002116,VMD-00113,LDS-010,,EMP-00026,,1,7041,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000037,2025-07-01,GSA-001,,,LDS-006,CMP-00011,EMP-00010,,1,643,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000038,2025-07-01,GSA-001,CUS-00001708,VMD-00063,LDS-012,,EMP-00011,,1,884,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000039,2025-07-01,GSA-001,CUS-00001966,,LDS-006,CMP-00011,EMP-00010,,1,760,true,true,true,false,false,,,arpi_synthetic_generator
LED-000000040,2025-07-01,GSA-002,CUS-00001593,,LDS-018,,EMP-00015,,1,81,true,true,false,false,false,,,arpi_synthetic_generator
LED-000000041,2025-07-01,GSA-002,CUS-00001104,VMD-00120,LDS-002,,EMP-00014,,1,1687,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000042,2025-07-01,GSA-003,CUS-00000156,VMD-00053,LDS-012,,EMP-00026,SLE-00000044,1,1811,true,true,true,true,false,,14,arpi_synthetic_generator
LED-000000043,2025-07-01,GSA-002,CUS-00001541,VMD-00003,LDS-004,,EMP-00019,,1,1098,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000044,2025-07-01,GSA-001,CUS-00001549,,LDS-015,,EMP-00006,,1,2102,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000045,2025-07-01,GSA-002,CUS-00002043,VMD-00109,LDS-010,CMP-00005,EMP-00019,,1,31,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000046,2025-07-01,GSA-003,,,LDS-002,,EMP-00029,,1,1401,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000047,2025-07-02,GSA-002,CUS-00001248,VMD-00014,LDS-007,,EMP-00019,,1,19072,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000048,2025-07-02,GSA-001,CUS-00002098,VMD-00062,LDS-001,,EMP-00001,SLE-00000204,1,1625,true,true,false,true,false,,47,arpi_synthetic_generator
LED-000000049,2025-07-02,GSA-001,CUS-00001258,VMD-00036,LDS-018,,EMP-00001,SLE-00000056,1,1664,true,true,true,true,false,,14,arpi_synthetic_generator
LED-000000050,2025-07-02,GSA-001,CUS-00001189,VMD-00106,LDS-010,CMP-00013,EMP-00011,,1,14678,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000051,2025-07-02,GSA-002,CUS-00002159,VMD-00107,LDS-010,CMP-00005,EMP-00019,,1,3136,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000052,2025-07-02,GSA-002,CUS-00001496,VMD-00056,LDS-015,,EMP-00015,SLE-00000005,1,1015,true,true,true,true,false,,0,arpi_synthetic_generator
LED-000000053,2025-07-02,GSA-001,CUS-00002300,VMD-00078,LDS-003,,EMP-00011,,1,,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000054,2025-07-02,GSA-001,,VMD-00028,LDS-006,,,,1,5478,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000055,2025-07-02,GSA-003,CUS-00001121,VMD-00021,LDS-007,,EMP-00026,,1,3655,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000056,2025-07-02,GSA-003,CUS-00000488,VMD-00058,LDS-006,CMP-00018,,,1,,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000057,2025-07-02,GSA-001,CUS-00001068,VMD-00092,LDS-018,,EMP-00006,SLE-00000058,1,1686,true,false,false,true,false,,15,arpi_synthetic_generator
LED-000000058,2025-07-02,GSA-001,CUS-00000076,VMD-00062,LDS-010,CMP-00013,EMP-00011,,1,565,true,true,true,false,false,,,arpi_synthetic_generator
LED-000000059,2025-07-02,GSA-001,CUS-00002282,VMD-00103,LDS-011,CMP-00024,EMP-00011,,1,11780,true,true,false,false,false,,,arpi_synthetic_generator
LED-000000060,2025-07-02,GSA-001,CUS-00000095,VMD-00029,LDS-012,,EMP-00011,,1,11616,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000061,2025-07-02,GSA-003,CUS-00001167,VMD-00083,LDS-015,,EMP-00024,SLE-00000149,1,1161,true,false,false,true,false,,37,arpi_synthetic_generator
LED-000000062,2025-07-02,GSA-003,CUS-00000560,VMD-00070,LDS-001,,EMP-00026,,1,504,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000063,2025-07-02,GSA-003,CUS-00002212,VMD-00017,LDS-010,,EMP-00025,,1,,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000064,2025-07-02,GSA-001,CUS-00002051,VMD-00117,LDS-005,,EMP-00011,,1,429,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000065,2025-07-02,GSA-002,CUS-00002191,VMD-00109,LDS-015,,EMP-00013,SLE-00000042,1,2405,true,false,false,true,false,,13,arpi_synthetic_generator
LED-000000066,2025-07-02,GSA-001,CUS-00001944,VMD-00009,LDS-018,,,SLE-00000015,1,229,true,true,false,true,false,,3,arpi_synthetic_generator
LED-000000067,2025-07-02,GSA-002,CUS-00000386,VMD-00106,LDS-013,,EMP-00019,,1,674,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000068,2025-07-02,GSA-001,CUS-00000637,VMD-00089,LDS-016,,EMP-00012,SLE-00000180,1,1437,true,true,true,true,false,,42,arpi_synthetic_generator
LED-000000069,2025-07-02,GSA-003,CUS-00001167,,LDS-008,,EMP-00027,,1,2961,true,false,false,false,true,LED-000000061,,arpi_synthetic_generator
LED-000000070,2025-07-02,GSA-003,CUS-00002192,VMD-00006,LDS-003,,EMP-00025,,1,605,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000071,2025-07-02,GSA-003,CUS-00001899,VMD-00014,LDS-008,,EMP-00026,,1,1079,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000072,2025-07-02,GSA-002,CUS-00001718,VMD-00092,LDS-005,,EMP-00019,,1,1311,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000073,2025-07-02,GSA-002,CUS-00000403,,LDS-018,,EMP-00020,,1,141,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000074,2025-07-02,GSA-003,CUS-00000785,VMD-00026,LDS-008,,EMP-00025,,1,1045,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000075,2025-07-02,GSA-001,,VMD-00020,LDS-002,,EMP-00007,,1,213,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000076,2025-07-02,GSA-001,,VMD-00042,LDS-008,,EMP-00011,,1,1149,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000077,2025-07-02,GSA-002,CUS-00001973,VMD-00005,LDS-013,,EMP-00019,,1,3286,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000078,2025-07-02,GSA-003,CUS-00002155,,LDS-010,,EMP-00029,,1,418,true,true,false,false,false,,,arpi_synthetic_generator
LED-000000079,2025-07-02,GSA-002,CUS-00000039,VMD-00073,LDS-003,CMP-00015,EMP-00019,SLE-00000019,1,777,true,false,false,true,false,,5,arpi_synthetic_generator
LED-000000080,2025-07-02,GSA-002,CUS-00001884,VMD-00038,LDS-007,CMP-00023,EMP-00019,,1,1407,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000081,2025-07-02,GSA-001,CUS-00002016,VMD-00105,LDS-015,,EMP-00007,,1,419,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000082,2025-07-02,GSA-003,CUS-00002058,VMD-00037,LDS-014,,EMP-00027,,1,5689,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000083,2025-07-02,GSA-002,CUS-00000123,,LDS-010,CMP-00005,EMP-00019,,1,,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000084,2025-07-02,GSA-001,CUS-00001607,VMD-00096,LDS-006,CMP-00010,EMP-00003,,1,975,true,true,true,false,false,,,arpi_synthetic_generator
LED-000000085,2025-07-02,GSA-001,CUS-00000327,VMD-00064,LDS-001,,EMP-00003,SLE-00000045,1,1200,true,false,false,true,false,,13,arpi_synthetic_generator
LED-000000086,2025-07-02,GSA-002,CUS-00000613,,LDS-001,,EMP-00018,,1,2152,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000087,2025-07-02,GSA-001,CUS-00000092,VMD-00063,LDS-001,,EMP-00004,SLE-00000004,1,7637,true,false,false,true,false,,0,arpi_synthetic_generator
LED-000000088,2025-07-02,GSA-001,,VMD-00051,LDS-006,CMP-00016,EMP-00001,,1,500,true,true,true,false,false,,,arpi_synthetic_generator
LED-000000089,2025-07-02,GSA-001,CUS-00001084,VMD-00043,LDS-002,,EMP-00010,,1,330,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000090,2025-07-02,GSA-002,CUS-00000081,VMD-00047,LDS-018,,EMP-00022,SLE-00000315,1,1736,true,true,false,true,false,,77,arpi_synthetic_generator
LED-000000091,2025-07-02,GSA-001,CUS-00002036,VMD-00061,LDS-015,,EMP-00006,SLE-00000160,1,2930,true,false,false,true,false,,38,arpi_synthetic_generator
LED-000000092,2025-07-02,GSA-001,CUS-00000819,VMD-00050,LDS-005,,EMP-00011,SLE-00000009,1,5874,true,true,false,true,false,,1,arpi_synthetic_generator
LED-000000093,2025-07-02,GSA-001,CUS-00002097,VMD-00111,LDS-002,,,,1,,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000094,2025-07-02,GSA-002,,VMD-00018,LDS-003,CMP-00015,EMP-00019,,1,1475,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000095,2025-07-03,GSA-003,CUS-00001190,VMD-00078,LDS-006,CMP-00018,EMP-00025,,1,,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000096,2025-07-03,GSA-001,CUS-00001006,VMD-00116,LDS-015,,EMP-00004,SLE-00000012,1,8577,true,true,true,true,false,,0,arpi_synthetic_generator
LED-000000097,2025-07-03,GSA-001,CUS-00001675,VMD-00092,LDS-001,,EMP-00001,,1,397,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000098,2025-07-03,GSA-003,CUS-00000488,VMD-00057,LDS-002,,EMP-00030,,1,,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000099,2025-07-03,GSA-003,CUS-00002217,VMD-00038,LDS-015,,EMP-00030,SLE-00000151,1,173,true,true,true,true,false,,36,arpi_synthetic_generator
LED-000000100,2025-07-03,GSA-003,CUS-00001072,,LDS-012,,EMP-00025,,1,244,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000101,2025-07-03,GSA-002,CUS-00000973,VMD-00101,LDS-009,,EMP-00019,,1,99,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000102,2025-07-03,GSA-003,CUS-00000506,VMD-00007,LDS-001,,EMP-00026,,1,411,true,true,true,false,false,,,arpi_synthetic_generator
LED-000000103,2025-07-03,GSA-003,CUS-00001646,VMD-00095,LDS-015,,EMP-00027,,1,591,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000104,2025-07-03,GSA-003,CUS-00002265,VMD-00116,LDS-001,,EMP-00026,SLE-00000057,1,5403,true,false,false,true,false,,14,arpi_synthetic_generator
LED-000000105,2025-07-03,GSA-002,CUS-00001459,VMD-00070,LDS-010,CMP-00005,EMP-00019,,1,1638,true,true,true,false,true,LED-000000011,,arpi_synthetic_generator
LED-000000106,2025-07-03,GSA-003,CUS-00000905,,LDS-010,,,,1,8108,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000107,2025-07-03,GSA-003,CUS-00001366,,LDS-011,CMP-00008,EMP-00024,,1,9341,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000108,2025-07-03,GSA-002,CUS-00000887,VMD-00013,LDS-003,CMP-00015,EMP-00019,,1,724,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000109,2025-07-03,GSA-003,CUS-00001443,VMD-00061,LDS-002,,EMP-00029,,1,237,true,true,true,false,false,,,arpi_synthetic_generator
LED-000000110,2025-07-03,GSA-003,CUS-00000831,VMD-00065,LDS-007,CMP-00021,EMP-00029,,1,6582,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000111,2025-07-03,GSA-001,CUS-00000343,VMD-00044,LDS-010,CMP-00013,,,1,259200,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000112,2025-07-03,GSA-002,CUS-00002191,VMD-00076,LDS-018,,EMP-00022,,1,166,true,false,false,false,true,LED-000000065,,arpi_synthetic_generator
LED-000000113,2025-07-03,GSA-001,CUS-00000506,,LDS-007,CMP-00023,EMP-00011,,1,1081,true,true,true,false,false,,,arpi_synthetic_generator
LED-000000114,2025-07-03,GSA-001,,VMD-00104,LDS-001,,EMP-00006,,1,554,true,true,false,false,false,,,arpi_synthetic_generator
LED-000000115,2025-07-03,GSA-001,,VMD-00009,LDS-002,,EMP-00010,,1,2140,true,true,true,false,false,,,arpi_synthetic_generator
LED-000000116,2025-07-03,GSA-002,CUS-00002011,VMD-00096,LDS-011,CMP-00024,EMP-00019,,1,213,true,true,false,false,false,,,arpi_synthetic_generator
LED-000000117,2025-07-03,GSA-001,CUS-00002443,VMD-00104,LDS-016,,EMP-00010,SLE-00000382,1,702,true,true,true,true,false,,95,arpi_synthetic_generator
LED-000000118,2025-07-03,GSA-002,CUS-00001017,VMD-00106,LDS-002,,EMP-00018,,1,192,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000119,2025-07-03,GSA-002,CUS-00000440,VMD-00052,LDS-010,CMP-00005,EMP-00019,,1,541,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000120,2025-07-03,GSA-003,CUS-00000781,VMD-00053,LDS-015,,EMP-00024,SLE-00000014,1,360,true,true,true,true,false,,2,arpi_synthetic_generator
LED-000000121,2025-07-03,GSA-002,CUS-00000286,VMD-00041,LDS-001,,EMP-00022,SLE-00000032,1,2342,true,false,false,true,false,,9,arpi_synthetic_generator
LED-000000122,2025-07-03,GSA-003,CUS-00000331,VMD-00091,LDS-016,,EMP-00027,,1,439,true,true,true,false,false,,,arpi_synthetic_generator
LED-000000123,2025-07-03,GSA-001,CUS-00001920,VMD-00103,LDS-019,,EMP-00003,,1,1946,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000124,2025-07-03,GSA-003,CUS-00000113,,LDS-006,CMP-00018,EMP-00030,,1,5693,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000125,2025-07-03,GSA-002,CUS-00002003,VMD-00118,LDS-001,,EMP-00020,,1,1598,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000126,2025-07-03,GSA-001,CUS-00002493,VMD-00112,LDS-006,CMP-00011,EMP-00012,SLE-00000270,1,879,true,true,true,true,false,,64,arpi_synthetic_generator
LED-000000127,2025-07-03,GSA-002,CUS-00000737,VMD-00118,LDS-007,CMP-00021,EMP-00019,SLE-00000011,1,1082,true,true,true,true,false,,0,arpi_synthetic_generator
LED-000000128,2025-07-03,GSA-002,CUS-00002011,VMD-00067,LDS-008,,EMP-00019,,1,866,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000129,2025-07-04,GSA-001,CUS-00000249,VMD-00115,LDS-006,,EMP-00012,,1,750,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000130,2025-07-04,GSA-003,CUS-00001121,VMD-00057,LDS-010,,EMP-00030,,1,1682,true,true,false,false,false,,,arpi_synthetic_generator
LED-000000131,2025-07-04,GSA-002,CUS-00002155,VMD-00048,LDS-001,,EMP-00015,,1,7540,true,true,true,false,false,,,arpi_synthetic_generator
LED-000000132,2025-07-04,GSA-001,CUS-00002369,VMD-00105,LDS-005,,EMP-00011,,1,515,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000133,2025-07-04,GSA-001,,VMD-00090,LDS-003,CMP-00015,EMP-00011,,1,,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000134,2025-07-04,GSA-001,CUS-00000848,VMD-00108,LDS-009,,EMP-00011,,1,,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000135,2025-07-04,GSA-003,CUS-00002008,VMD-00041,LDS-006,CMP-00010,EMP-00030,,1,160,true,true,false,false,false,,,arpi_synthetic_generator
LED-000000136,2025-07-04,GSA-001,,VMD-00108,LDS-007,CMP-00001,EMP-00011,,1,4222,true,true,false,false,false,,,arpi_synthetic_generator
LED-000000137,2025-07-04,GSA-002,CUS-00001247,,LDS-006,CMP-00018,EMP-00022,,1,641,true,true,false,false,false,,,arpi_synthetic_generator
LED-000000138,2025-07-04,GSA-002,CUS-00000472,VMD-00041,LDS-015,,EMP-00020,,1,16656,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000139,2025-07-04,GSA-003,CUS-00002163,VMD-00043,LDS-001,,EMP-00026,,1,1387,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000140,2025-07-04,GSA-001,CUS-00002080,VMD-00072,LDS-018,,EMP-00006,,1,253,true,true,false,false,false,,,arpi_synthetic_generator
LED-000000141,2025-07-04,GSA-003,CUS-00002221,VMD-00091,LDS-004,,EMP-00024,,1,3346,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000142,2025-07-04,GSA-002,CUS-00001249,VMD-00055,LDS-004,,EMP-00019,,1,73,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000143,2025-07-04,GSA-001,CUS-00000710,VMD-00005,LDS-015,,EMP-00001,SLE-00000029,1,1335,true,true,true,true,false,,5,arpi_synthetic_generator
LED-000000144,2025-07-04,GSA-002,CUS-00000163,VMD-00045,LDS-010,CMP-00005,EMP-00019,,1,1054,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000145,2025-07-04,GSA-003,CUS-00002261,VMD-00091,LDS-001,,EMP-00026,SLE-00000035,1,15145,true,true,true,true,false,,8,arpi_synthetic_generator
LED-000000146,2025-07-04,GSA-001,CUS-00000591,VMD-00111,LDS-007,CMP-00001,,,1,,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000147,2025-07-04,GSA-002,CUS-00001245,,LDS-006,CMP-00011,EMP-00016,,1,1164,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000148,2025-07-04,GSA-003,CUS-00000043,,LDS-015,,EMP-00029,,1,4211,true,true,true,false,false,,,arpi_synthetic_generator
LED-000000149,2025-07-05,GSA-001,CUS-00001717,VMD-00009,LDS-001,,,,1,30372,true,true,false,false,false,,,arpi_synthetic_generator
LED-000000150,2025-07-05,GSA-002,CUS-00001434,,LDS-009,,EMP-00019,,1,5128,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000151,2025-07-05,GSA-003,CUS-00001889,VMD-00021,LDS-015,,EMP-00024,SLE-00000072,1,5102,true,false,false,true,false,,16,arpi_synthetic_generator
LED-000000152,2025-07-05,GSA-002,CUS-00000005,VMD-00094,LDS-004,,EMP-00019,,1,2680,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000153,2025-07-05,GSA-002,CUS-00001340,VMD-00093,LDS-010,CMP-00005,,,1,,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000154,2025-07-05,GSA-001,CUS-00000113,VMD-00090,LDS-002,,EMP-00007,,1,567,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000155,2025-07-05,GSA-002,CUS-00002338,,LDS-006,,EMP-00013,,1,111,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000156,2025-07-05,GSA-001,CUS-00001174,VMD-00114,LDS-007,CMP-00023,EMP-00011,,1,959,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000157,2025-07-05,GSA-001,CUS-00001648,VMD-00044,LDS-007,CMP-00001,EMP-00011,,1,555,true,true,false,false,false,,,arpi_synthetic_generator
LED-000000158,2025-07-05,GSA-002,CUS-00000833,,LDS-009,,EMP-00019,,1,589,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000159,2025-07-05,GSA-001,CUS-00000499,VMD-00059,LDS-010,CMP-00013,EMP-00011,,1,1171,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000160,2025-07-05,GSA-003,CUS-00000336,,LDS-011,CMP-00008,EMP-00029,,1,1513,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000161,2025-07-05,GSA-003,CUS-00002287,VMD-00042,LDS-007,CMP-00021,EMP-00025,,1,26376,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000162,2025-07-05,GSA-001,CUS-00001703,VMD-00028,LDS-011,CMP-00024,EMP-00011,SLE-00000023,1,649,true,true,true,true,false,,3,arpi_synthetic_generator
LED-000000163,2025-07-05,GSA-003,CUS-00000813,,LDS-010,,,,1,,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000164,2025-07-05,GSA-001,CUS-00001016,VMD-00050,LDS-016,,EMP-00004,SLE-00000037,1,1163,true,true,true,true,false,,9,arpi_synthetic_generator
LED-000000165,2025-07-05,GSA-003,CUS-00001186,VMD-00017,LDS-001,,EMP-00030,,1,282,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000166,2025-07-05,GSA-002,CUS-00000588,,LDS-007,CMP-00021,EMP-00019,,1,2750,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000167,2025-07-05,GSA-001,CUS-00001880,VMD-00063,LDS-009,,EMP-00011,,1,,false,false,false,false,false,,,arpi_synthetic_generator
LED-000000168,2025-07-05,GSA-002,CUS-00002047,VMD-00116,LDS-015,,EMP-00022,,1,194,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000169,2025-07-05,GSA-001,CUS-00001817,,LDS-010,,EMP-00011,,1,11131,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000170,2025-07-06,GSA-002,CUS-00001012,VMD-00002,LDS-015,,EMP-00015,,1,356,true,false,false,false,false,,,arpi_synthetic_generator
LED-000000171,2025-07-06,GSA-001,CUS-00000145,VMD-00081,LDS-015,,EMP-00012,,1,7551,true,false,false,false,false,,,arpi_synthetic_generator
