marketing_spend_id,month_date_key,dealership_id,campaign_id,lead_source_id,spend_amount,impressions,clicks,calls,form_submissions,vendor_reported_leads,source_system
MKT-00000052,20250801,GSA-002,CMP-00024,LDS-011,348.05,20239,415,4,8,14,arpi_synthetic_generator
MKT-00000053,20250801,GSA-003,CMP-00008,LDS-011,121.13,6795,122,1,3,4,arpi_synthetic_generator
MKT-00000054,20250801,GSA-003,CMP-00010,LDS-006,53.14,2136,98,0,1,2,arpi_synthetic_generator
MKT-00000055,20250801,GSA-003,CMP-00014,LDS-014,168.03,6671,0,2,0,3,arpi_synthetic_generator
MKT-00000056,20250801,GSA-003,CMP-00017,LDS-003,28.27,7460,195,1,4,7,arpi_synthetic_generator
MKT-00000057,20250801,GSA-003,CMP-00018,LDS-006,91.79,4663,205,1,3,5,arpi_synthetic_generator
MKT-00000058,20250801,GSA-003,CMP-00021,LDS-007,468.50,24129,905,2,6,10,arpi_synthetic_generator
MKT-00000059,20250801,GSA-003,CMP-00023,LDS-007,187.80,9517,418,1,4,6,arpi_synthetic_generator
MKT-00000060,20250901,GSA-001,CMP-00001,LDS-007,725.43,36216,1644,5,12,21,arpi_synthetic_generator
MKT-00000061,20250901,GSA-001,CMP-00002,LDS-008,218.90,19380,189,2,6,10,arpi_synthetic_generator
MKT-00000062,20250901,GSA-001,CMP-00007,LDS-013,192.90,353,0,3,1,5,arpi_synthetic_generator
MKT-00000063,20250901,GSA-001,CMP-00010,LDS-006,79.30,4033,170,1,2,4,arpi_synthetic_generator
MKT-00000064,20250901,GSA-001,CMP-00011,LDS-006,183.34,8866,380,2,7,12,arpi_synthetic_generator
MKT-00000065,20250901,GSA-001,CMP-00013,LDS-010,856.72,56942,1076,12,35,47,arpi_synthetic_generator
MKT-00000066,20250901,GSA-001,CMP-00014,LDS-014,328.10,11111,0,5,1,7,arpi_synthetic_generator
MKT-00000067,20250901,GSA-001,CMP-00015,LDS-003,49.28,15866,431,2,6,9,arpi_synthetic_generator
MKT-00000068,20250901,GSA-001,CMP-00016,LDS-006,133.05,6002,222,1,3,5,arpi_synthetic_generator
MKT-00000069,20250901,GSA-001,CMP-00017,LDS-003,39.25,12565,365,3,9,13,arpi_synthetic_generator
MKT-00000070,20250901,GSA-001,CMP-00018,LDS-006,224.04,9904,395,2,5,9,arpi_synthetic_generator
MKT-00000071,20250901,GSA-001,CMP-00019,LDS-012,216.55,15613,0,3,0,4,arpi_synthetic_generator
MKT-00000072,20250901,GSA-001,CMP-00021,LDS-007,742.02,31232,1448,4,11,19,arpi_synthetic_generator
MKT-00000073,20250901,GSA-001,CMP-00023,LDS-007,422.49,18573,810,2,6,10,arpi_synthetic_generator
MKT-00000074,20250901,GSA-001,CMP-00024,LDS-011,501.63,29995,526,5,15,21,arpi_synthetic_generator
MKT-00000075,20250901,GSA-002,CMP-00002,LDS-008,224.49,22120,265,1,4,7,arpi_synthetic_generator
MKT-00000076,20250901,GSA-002,CMP-00003,LDS-006,147.54,6125,238,1,3,6,arpi_synthetic_generator
MKT-00000077,20250901,GSA-002,CMP-00005,LDS-010,269.45,16597,291,5,13,19,arpi_synthetic_generator
MKT-00000078,20250901,GSA-002,CMP-00007,LDS-013,122.18,213,0,4,1,5,arpi_synthetic_generator
MKT-00000079,20250901,GSA-002,CMP-00008,LDS-011,139.58,7503,151,2,5,7,arpi_synthetic_generator
MKT-00000080,20250901,GSA-002,CMP-00011,LDS-006,143.40,7381,297,2,5,8,arpi_synthetic_generator
MKT-00000081,20250901,GSA-002,CMP-00015,LDS-003,42.99,12644,365,2,8,12,arpi_synthetic_generator
MKT-00000082,20250901,GSA-002,CMP-00016,LDS-006,124.65,6419,284,2,5,7,arpi_synthetic_generator
MKT-00000083,20250901,GSA-002,CMP-00017,LDS-003,46.16,13441,332,2,8,11,arpi_synthetic_generator
MKT-00000084,20250901,GSA-002,CMP-00018,LDS-006,142.70,7243,329,1,4,7,arpi_synthetic_generator
MKT-00000085,20250901,GSA-002,CMP-00019,LDS-012,132.88,8567,0,3,0,4,arpi_synthetic_generator
MKT-00000086,20250901,GSA-002,CMP-00021,LDS-007,657.51,30189,1367,4,8,15,arpi_synthetic_generator
MKT-00000087,20250901,GSA-002,CMP-00023,LDS-007,287.13,13463,505,2,6,8,arpi_synthetic_generator
MKT-00000088,20250901,GSA-002,CMP-00024,LDS-011,384.60,21829,439,6,12,18,arpi_synthetic_generator
MKT-00000089,20250901,GSA-003,CMP-00007,LDS-013,71.15,125,0,1,0,2,arpi_synthetic_generator
MKT-00000090,20250901,GSA-003,CMP-00008,LDS-011,93.24,5593,105,1,2,4,arpi_synthetic_generator
MKT-00000091,20250901,GSA-003,CMP-00010,LDS-006,49.96,2141,95,1,2,3,arpi_synthetic_generator
MKT-00000092,20250901,GSA-003,CMP-00014,LDS-014,131.08,4821,0,2,0,2,arpi_synthetic_generator
MKT-00000093,20250901,GSA-003,CMP-00017,LDS-003,28.67,7697,205,1,4,7,arpi_synthetic_generator
MKT-00000094,20250901,GSA-003,CMP-00018,LDS-006,130.64,5907,223,1,4,6,arpi_synthetic_generator
MKT-00000095,20250901,GSA-003,CMP-00021,LDS-007,481.49,20887,778,3,8,11,arpi_synthetic_generator
MKT-00000096,20250901,GSA-003,CMP-00023,LDS-007,234.87,10989,521,1,3,5,arpi_synthetic_generator
MKT-00000097,20251001,GSA-001,CMP-00001,LDS-007,664.07,31904,1302,5,14,23,arpi_synthetic_generator
MKT-00000098,20251001,GSA-001,CMP-00004,LDS-012,135.65,8750,0,2,0,2,arpi_synthetic_generator
MKT-00000099,20251001,GSA-001,CMP-00006,LDS-014,142.92,5216,0,3,0,4,arpi_synthetic_generator
MKT-00000100,20251001,GSA-001,CMP-00007,LDS-013,174.71,369,0,3,1,4,arpi_synthetic_generator
MKT-00000101,20251001,GSA-001,CMP-00010,LDS-006,70.85,3136,134,1,3,4,arpi_synthetic_generator
MKT-00000102,20251001,GSA-001,CMP-00011,LDS-006,223.19,11490,548,2,6,9,arpi_synthetic_generator
MKT-00000103,20251001,GSA-001,CMP-00012,LDS-013,160.25,306,0,4,1,6,arpi_synthetic_generator
MKT-00000104,20251001,GSA-001,CMP-00013,LDS-010,1083.23,64571,1250,14,34,48,arpi_synthetic_generator
MKT-00000105,20251001,GSA-001,CMP-00015,LDS-003,56.93,17444,505,2,7,12,arpi_synthetic_generator
MKT-00000106,20251001,GSA-001,CMP-00016,LDS-006,143.36,5831,275,2,5,8,arpi_synthetic_generator
MKT-00000107,20251001,GSA-001,CMP-00017,LDS-003,42.74,12245,360,2,7,10,arpi_synthetic_generator
MKT-00000108,20251001,GSA-001,CMP-00018,LDS-006,235.63,11707,529,3,7,11,arpi_synthetic_generator
MKT-00000109,20251001,GSA-001,CMP-00019,LDS-012,224.33,15535,0,5,0,6,arpi_synthetic_generator
MKT-00000110,20251001,GSA-001,CMP-00020,LDS-008,205.20,20456,200,2,4,8,arpi_synthetic_generator
MKT-00000111,20251001,GSA-001,CMP-00021,LDS-007,790.76,35989,1669,4,14,21,arpi_synthetic_generator
MKT-00000112,20251001,GSA-001,CMP-00023,LDS-007,342.22,17047,759,2,7,10,arpi_synthetic_generator
MKT-00000113,20251001,GSA-001,CMP-00024,LDS-011,562.65,35689,697,4,10,15,arpi_synthetic_generator
MKT-00000114,20251001,GSA-002,CMP-00003,LDS-006,182.60,9294,399,1,4,6,arpi_synthetic_generator
MKT-00000115,20251001,GSA-002,CMP-00004,LDS-012,105.28,8512,0,2,0,3,arpi_synthetic_generator
MKT-00000116,20251001,GSA-002,CMP-00005,LDS-010,307.76,16946,330,5,12,18,arpi_synthetic_generator
MKT-00000117,20251001,GSA-002,CMP-00007,LDS-013,133.93,233,0,3,1,5,arpi_synthetic_generator
MKT-00000118,20251001,GSA-002,CMP-00008,LDS-011,148.53,9503,174,2,5,7,arpi_synthetic_generator
MKT-00000119,20251001,GSA-002,CMP-00011,LDS-006,205.61,8546,324,2,5,8,arpi_synthetic_generator
MKT-00000120,20251001,GSA-002,CMP-00012,LDS-013,180.83,368,0,4,1,7,arpi_synthetic_generator
MKT-00000121,20251001,GSA-002,CMP-00015,LDS-003,48.89,14895,347,2,8,13,arpi_synthetic_generator
MKT-00000122,20251001,GSA-002,CMP-00016,LDS-006,123.63,5733,272,1,3,5,arpi_synthetic_generator
MKT-00000123,20251001,GSA-002,CMP-00017,LDS-003,48.32,14389,357,2,7,11,arpi_synthetic_generator
MKT-00000124,20251001,GSA-002,CMP-00018,LDS-006,138.34,6453,302,1,5,7,arpi_synthetic_generator
MKT-00000125,20251001,GSA-002,CMP-00019,LDS-012,219.01,16522,0,4,0,6,arpi_synthetic_generator
MKT-00000126,20251001,GSA-002,CMP-00020,LDS-008,183.10,18836,234,2,5,8,arpi_synthetic_generator
MKT-00000127,20251001,GSA-002,CMP-00021,LDS-007,677.99,29152,1215,4,10,18,arpi_synthetic_generator
MKT-00000128,20251001,GSA-002,CMP-00023,LDS-007,259.35,10716,444,2,7,11,arpi_synthetic_generator
MKT-00000129,20251001,GSA-002,CMP-00024,LDS-011,317.64,19608,422,4,12,16,arpi_synthetic_generator
MKT-00000130,20251001,GSA-003,CMP-00004,LDS-012,67.57,4633,0,1,0,1,arpi_synthetic_generator
MKT-00000131,20251001,GSA-003,CMP-00006,LDS-014,77.72,3055,0,1,0,1,arpi_synthetic_generator
MKT-00000132,20251001,GSA-003,CMP-00007,LDS-013,96.22,172,0,2,0,3,arpi_synthetic_generator
MKT-00000133,20251001,GSA-003,CMP-00008,LDS-011,101.62,5550,108,1,3,4,arpi_synthetic_generator
MKT-00000134,20251001,GSA-003,CMP-00010,LDS-006,48.35,2322,95,0,1,1,arpi_synthetic_generator
MKT-00000135,20251001,GSA-003,CMP-00012,LDS-013,98.66,175,0,2,0,3,arpi_synthetic_generator
MKT-00000136,20251001,GSA-003,CMP-00017,LDS-003,23.36,5918,137,1,4,6,arpi_synthetic_generator
MKT-00000137,20251001,GSA-003,CMP-00018,LDS-006,102.16,4564,200,1,3,5,arpi_synthetic_generator
MKT-00000138,20251001,GSA-003,CMP-00020,LDS-008,145.29,12348,138,1,3,5,arpi_synthetic_generator
MKT-00000139,20251001,GSA-003,CMP-00021,LDS-007,501.83,21776,974,3,7,12,arpi_synthetic_generator
MKT-00000140,20251001,GSA-003,CMP-00023,LDS-007,239.57,9884,424,1,4,6,arpi_synthetic_generator
MKT-00000141,20251101,GSA-001,CMP-00001,LDS-007,564.93,26421,1000,4,10,16,arpi_synthetic_generator
MKT-00000142,20251101,GSA-001,CMP-00004,LDS-012,210.35,16806,0,4,0,5,arpi_synthetic_generator
MKT-00000143,20251101,GSA-001,CMP-00006,LDS-014,324.29,12461,0,4,1,6,arpi_synthetic_generator
MKT-00000144,20251101,GSA-001,CMP-00007,LDS-013,176.14,368,0,3,1,5,arpi_synthetic_generator
MKT-00000145,20251101,GSA-001,CMP-00009,LDS-013,91.08,181,0,1,0,2,arpi_synthetic_generator
MKT-00000146,20251101,GSA-001,CMP-00010,LDS-006,74.65,3129,133,1,3,4,arpi_synthetic_generator
MKT-00000147,20251101,GSA-001,CMP-00011,LDS-006,210.49,9101,431,2,6,9,arpi_synthetic_generator
MKT-00000148,20251101,GSA-001,CMP-00013,LDS-010,841.80,45580,810,15,30,48,arpi_synthetic_generator
MKT-00000149,20251101,GSA-001,CMP-00015,LDS-003,48.57,15533,448,2,6,11,arpi_synthetic_generator
MKT-00000150,20251101,GSA-001,CMP-00016,LDS-006,123.03,5278,202,2,4,7,arpi_synthetic_generator
MKT-00000151,20251101,GSA-001,CMP-00018,LDS-006,210.61,10481,444,2,6,9,arpi_synthetic_generator
MKT-00000152,20251101,GSA-001,CMP-00020,LDS-008,258.17,25200,315,2,6,9,arpi_synthetic_generator
MKT-00000153,20251101,GSA-001,CMP-00021,LDS-007,893.84,40473,1536,5,15,24,arpi_synthetic_generator
MKT-00000154,20251101,GSA-001,CMP-00022,LDS-008,323.96,30274,297,2,8,13,arpi_synthetic_generator
MKT-00000155,20251101,GSA-001,CMP-00023,LDS-007,329.12,13693,629,2,7,11,arpi_synthetic_generator
MKT-00000156,20251101,GSA-001,CMP-00024,LDS-011,509.19,28998,509,4,12,17,arpi_synthetic_generator
MKT-00000157,20251101,GSA-002,CMP-00003,LDS-006,177.18,8247,389,1,4,6,arpi_synthetic_generator
MKT-00000158,20251101,GSA-002,CMP-00004,LDS-012,194.19,12944,0,3,0,3,arpi_synthetic_generator
MKT-00000159,20251101,GSA-002,CMP-00005,LDS-010,313.07,16398,323,5,13,19,arpi_synthetic_generator
MKT-00000160,20251101,GSA-002,CMP-00007,LDS-013,145.40,317,0,3,1,4,arpi_synthetic_generator
MKT-00000161,20251101,GSA-002,CMP-00008,LDS-011,171.92,9226,181,2,4,6,arpi_synthetic_generator
MKT-00000162,20251101,GSA-002,CMP-00011,LDS-006,206.63,8324,352,2,5,9,arpi_synthetic_generator
MKT-00000163,20251101,GSA-002,CMP-00015,LDS-003,50.46,14909,387,1,5,7,arpi_synthetic_generator
MKT-00000164,20251101,GSA-002,CMP-00016,LDS-006,93.36,3965,149,1,3,5,arpi_synthetic_generator
MKT-00000165,20251101,GSA-002,CMP-00018,LDS-006,149.19,7692,330,1,4,6,arpi_synthetic_generator
MKT-00000166,20251101,GSA-002,CMP-00020,LDS-008,165.90,15514,188,1,3,6,arpi_synthetic_generator
MKT-00000167,20251101,GSA-002,CMP-00021,LDS-007,565.14,24716,968,3,11,16,arpi_synthetic_generator
MKT-00000168,20251101,GSA-002,CMP-00022,LDS-008,216.75,18401,195,1,4,7,arpi_synthetic_generator
MKT-00000169,20251101,GSA-002,CMP-00023,LDS-007,296.66,14491,537,2,5,9,arpi_synthetic_generator
MKT-00000170,20251101,GSA-002,CMP-00024,LDS-011,327.09,21366,378,6,14,20,arpi_synthetic_generator
MKT-00000171,20251101,GSA-003,CMP-00004,LDS-012,128.17,9346,0,2,0,2,arpi_synthetic_generator
MKT-00000172,20251101,GSA-003,CMP-00006,LDS-014,142.50,5493,0,2,0,3,arpi_synthetic_generator
MKT-00000173,20251101,GSA-003,CMP-00007,LDS-013,97.49,167,0,2,1,3,arpi_synthetic_generator
MKT-00000174,20251101,GSA-003,CMP-00008,LDS-011,84.52,4453,79,1,2,4,arpi_synthetic_generator
MKT-00000175,20251101,GSA-003,CMP-00010,LDS-006,37.50,1706,80,1,2,3,arpi_synthetic_generator
MKT-00000176,20251101,GSA-003,CMP-00018,LDS-006,108.79,5279,199,1,2,4,arpi_synthetic_generator
MKT-00000177,20251101,GSA-003,CMP-00020,LDS-008,110.97,9807,118,1,3,5,arpi_synthetic_generator
MKT-00000178,20251101,GSA-003,CMP-00021,LDS-007,439.90,17772,793,2,6,9,arpi_synthetic_generator
MKT-00000179,20251101,GSA-003,CMP-00022,LDS-008,162.45,16162,197,1,4,6,arpi_synthetic_generator
MKT-00000180,20251101,GSA-003,CMP-00023,LDS-007,205.68,9912,374,2,5,7,arpi_synthetic_generator
MKT-00000181,20251201,GSA-001,CMP-00001,LDS-007,526.87,26530,1075,5,13,19,arpi_synthetic_generator
MKT-00000182,20251201,GSA-001,CMP-00004,LDS-012,215.84,16339,0,4,0,5,arpi_synthetic_generator
MKT-00000183,20251201,GSA-001,CMP-00009,LDS-013,159.86,336,0,4,1,6,arpi_synthetic_generator
MKT-00000184,20251201,GSA-001,CMP-00010,LDS-006,77.36,3509,133,1,2,4,arpi_synthetic_generator
MKT-00000185,20251201,GSA-001,CMP-00011,LDS-006,223.78,10796,489,3,7,10,arpi_synthetic_generator
MKT-00000186,20251201,GSA-001,CMP-00013,LDS-010,1010.78,57101,1180,14,34,53,arpi_synthetic_generator
MKT-00000187,20251201,GSA-001,CMP-00015,LDS-003,47.72,14152,398,2,7,12,arpi_synthetic_generator
MKT-00000188,20251201,GSA-001,CMP-00016,LDS-006,149.33,6277,270,1,3,5,arpi_synthetic_generator
MKT-00000189,20251201,GSA-001,CMP-00018,LDS-006,183.55,7397,341,2,6,10,arpi_synthetic_generator
MKT-00000190,20251201,GSA-001,CMP-00021,LDS-007,724.06,31862,1463,5,16,27,arpi_synthetic_generator
MKT-00000191,20251201,GSA-001,CMP-00022,LDS-008,267.21,26443,263,2,8,12,arpi_synthetic_generator
MKT-00000192,20251201,GSA-001,CMP-00023,LDS-007,461.10,20104,915,3,7,12,arpi_synthetic_generator
MKT-00000193,20251201,GSA-001,CMP-00024,LDS-011,447.74,23714,488,6,13,21,arpi_synthetic_generator
MKT-00000194,20251201,GSA-002,CMP-00003,LDS-006,178.92,7683,291,1,4,7,arpi_synthetic_generator
MKT-00000195,20251201,GSA-002,CMP-00004,LDS-012,186.61,13547,0,4,0,5,arpi_synthetic_generator
MKT-00000196,20251201,GSA-002,CMP-00005,LDS-010,335.93,22343,411,5,11,17,arpi_synthetic_generator
MKT-00000197,20251201,GSA-002,CMP-00008,LDS-011,187.31,11142,223,2,5,7,arpi_synthetic_generator
MKT-00000198,20251201,GSA-002,CMP-00011,LDS-006,176.81,8443,368,2,6,10,arpi_synthetic_generator
MKT-00000199,20251201,GSA-002,CMP-00015,LDS-003,48.55,15028,366,2,5,9,arpi_synthetic_generator
MKT-00000200,20251201,GSA-002,CMP-00016,LDS-006,138.40,5948,236,1,3,5,arpi_synthetic_generator
MKT-00000201,20251201,GSA-002,CMP-00018,LDS-006,201.31,9847,375,2,5,8,arpi_synthetic_generator
MKT-00000202,20251201,GSA-002,CMP-00021,LDS-007,530.96,23496,1030,4,10,17,arpi_synthetic_generator
MKT-00000203,20251201,GSA-002,CMP-00022,LDS-008,191.19,17787,194,2,5,9,arpi_synthetic_generator
MKT-00000204,20251201,GSA-002,CMP-00023,LDS-007,276.38,11602,444,2,4,8,arpi_synthetic_generator
MKT-00000205,20251201,GSA-002,CMP-00024,LDS-011,338.35,18772,339,5,11,19,arpi_synthetic_generator
MKT-00000206,20251201,GSA-003,CMP-00004,LDS-012,139.00,11275,0,4,0,4,arpi_synthetic_generator
MKT-00000207,20251201,GSA-003,CMP-00008,LDS-011,88.43,5259,100,1,2,4,arpi_synthetic_generator
MKT-00000208,20251201,GSA-003,CMP-00010,LDS-006,50.09,2459,115,0,1,2,arpi_synthetic_generator
MKT-00000209,20251201,GSA-003,CMP-00018,LDS-006,121.46,5831,272,1,3,4,arpi_synthetic_generator
MKT-00000210,20251201,GSA-003,CMP-00021,LDS-007,501.14,24334,902,2,6,11,arpi_synthetic_generator
MKT-00000211,20251201,GSA-003,CMP-00022,LDS-008,137.04,13516,162,1,3,6,arpi_synthetic_generator
MKT-00000212,20251201,GSA-003,CMP-00023,LDS-007,183.43,8313,368,1,4,6,arpi_synthetic_generator
