sale_id,sale_date,delivery_date,dealership_id,vehicle_id,customer_id,salesperson_id,desk_manager_id,finance_manager_id,lead_source_id,sale_type,is_retail,unit_count,sale_price,msrp,original_asking_price,final_asking_price,acquisition_cost,reconditioning_cost,pack_amount,front_end_gross,back_end_gross,total_gross,trade_allowance,trade_acv,cash_down,amount_financed,days_in_inventory_at_sale,source_system
SLE-00000011,2025-07-03,2025-07-04,GSA-002,VEH-0000644,CUS-00000737,EMP-00020,EMP-00023,EMP-00017,,New Retail,true,1,36723.40,39216.15,38759.60,37364.25,36626.75,35.00,750.00,-688.35,929.50,241.15,0.00,0.00,1301.70,35421.70,129,arpi_synthetic_generator
SLE-00000012,2025-07-03,2025-07-06,GSA-001,VEH-0000715,CUS-00001006,EMP-00006,EMP-00002,EMP-00005,,New Retail,true,1,47433.15,49139.57,49598.44,49152.05,44412.39,102.00,795.00,2123.76,931.67,3055.43,0.00,0.00,2710.55,44722.60,43,arpi_synthetic_generator
SLE-00000013,2025-07-04,2025-07-04,GSA-002,VEH-0000395,,EMP-00022,EMP-00013,,,Wholesale,false,1,26710.00,32102.91,32247.85,31667.39,28516.69,82.00,750.00,-2638.69,0.00,-2638.69,0.00,0.00,0.00,0.00,69,arpi_synthetic_generator
SLE-00000014,2025-07-05,2025-07-05,GSA-003,VEH-0000124,CUS-00000781,EMP-00027,EMP-00024,EMP-00028,,Used Retail,true,1,15056.77,,17055.65,15895.87,11044.89,1291.48,495.00,2225.40,1005.62,3231.02,4719.83,4492.70,763.20,9573.74,133,arpi_synthetic_generator
SLE-00000015,2025-07-05,2025-07-07,GSA-001,VEH-0000347,CUS-00001944,EMP-00004,EMP-00008,EMP-00005,,Used Retail,true,1,4840.77,,5024.10,4938.69,2848.73,1060.67,795.00,136.37,872.42,1008.79,0.00,0.00,4014.82,825.95,58,arpi_synthetic_generator
SLE-00000016,2025-07-05,2025-07-08,GSA-002,VEH-0000491,CUS-00000289,EMP-00016,EMP-00013,EMP-00017,,New Retail,true,1,24361.94,25100.41,24886.60,24886.60,22796.84,57.00,750.00,758.10,765.30,1523.40,0.00,0.00,1881.24,22480.70,18,arpi_synthetic_generator
SLE-00000017,2025-07-05,2025-07-05,GSA-001,VEH-0000664,CUS-00000027,EMP-00012,EMP-00008,EMP-00005,,New Retail,true,1,37330.36,38786.96,39794.53,39436.38,35232.52,141.00,795.00,1161.84,1518.50,2680.34,8558.57,8422.89,1138.72,27633.07,54,arpi_synthetic_generator
SLE-00000018,2025-07-07,2025-07-10,GSA-001,VEH-0000340,CUS-00001190,EMP-00004,EMP-00002,EMP-00005,,Used Retail,true,1,24800.53,,26923.11,26465.42,18863.35,1879.35,795.00,3262.83,2086.23,5349.06,0.00,0.00,4647.69,20152.84,31,arpi_synthetic_generator
SLE-00000019,2025-07-07,2025-07-07,GSA-002,VEH-0000822,CUS-00000039,EMP-00022,EMP-00013,EMP-00017,,Certified Retail,true,1,27279.65,,29853.14,27823.13,16739.75,4232.94,750.00,5556.96,1058.11,6615.07,0.00,0.00,2330.51,24949.14,136,arpi_synthetic_generator
SLE-00000020,2025-07-07,2025-07-10,GSA-002,VEH-0000886,CUS-00000978,EMP-00022,EMP-00023,EMP-00017,,Used Retail,true,1,5546.21,,6137.08,5928.42,3549.55,1242.88,750.00,3.78,1289.32,1293.10,1077.27,938.57,2942.58,1526.36,84,arpi_synthetic_generator
SLE-00000021,2025-07-08,2025-07-08,GSA-002,VEH-0000283,CUS-00001037,EMP-00022,EMP-00014,EMP-00017,,New Retail,true,1,37705.81,39720.88,39857.00,39857.00,36129.75,4.00,750.00,822.06,1110.33,1932.39,0.00,0.00,6910.39,30795.42,28,arpi_synthetic_generator
SLE-00000022,2025-07-08,2025-07-10,GSA-003,VEH-0000352,CUS-00001749,EMP-00029,EMP-00024,EMP-00028,,Used Retail,true,1,22839.72,,24307.00,24307.00,18660.81,1065.97,495.00,2617.94,1739.92,4357.86,0.00,0.00,6176.59,0.00,18,arpi_synthetic_generator
SLE-00000023,2025-07-08,2025-07-10,GSA-001,VEH-0000737,CUS-00001703,EMP-00010,EMP-00008,EMP-00005,,Certified Retail,true,1,10864.72,,10974.32,10974.32,6148.69,1918.66,795.00,2002.37,631.66,2634.03,0.00,0.00,4120.59,6744.13,28,arpi_synthetic_generator
SLE-00000024,2025-07-09,2025-07-09,GSA-002,VEH-0000064,CUS-00000249,EMP-00022,EMP-00023,EMP-00017,,Certified Retail,true,1,20295.87,,21355.98,20992.93,15186.22,1627.50,750.00,2732.15,748.49,3480.64,0.00,0.00,4549.89,15745.98,35,arpi_synthetic_generator
SLE-00000025,2025-07-09,2025-07-09,GSA-001,VEH-0000250,CUS-00000588,EMP-00006,EMP-00001,EMP-00005,,Used Retail,true,1,37429.08,,39398.36,38728.59,30135.79,1314.64,795.00,5183.65,1321.92,6505.57,7733.93,6535.79,5437.62,24257.53,43,arpi_synthetic_generator
SLE-00000026,2025-07-09,2025-07-09,GSA-003,VEH-0000292,,EMP-00025,EMP-00024,,,Wholesale,false,1,10169.13,,12916.89,12258.13,8342.54,2489.06,495.00,-1157.47,0.00,-1157.47,0.00,0.00,0.00,0.00,119,arpi_synthetic_generator
SLE-00000027,2025-07-09,2025-07-10,GSA-002,VEH-0000364,CUS-00001011,EMP-00020,EMP-00013,EMP-00017,,Certified Retail,true,1,9207.60,,9932.72,9763.86,6151.78,1919.46,750.00,386.36,1170.74,1557.10,0.00,0.00,2334.27,6873.33,33,arpi_synthetic_generator
SLE-00000028,2025-07-09,2025-07-09,GSA-001,VEH-0000427,CUS-00000579,EMP-00003,EMP-00001,EMP-00005,,New Retail,true,1,35389.21,38753.23,38602.56,37907.71,35105.16,2.00,795.00,-512.95,837.97,325.02,0.00,0.00,5231.50,0.00,85,arpi_synthetic_generator
SLE-00000029,2025-07-09,2025-07-12,GSA-001,VEH-0000490,CUS-00000710,EMP-00010,EMP-00002,EMP-00005,,Used Retail,true,1,3494.27,,3607.97,3607.97,1939.81,824.35,795.00,-64.89,2822.69,2757.80,0.00,0.00,3054.44,439.83,14,arpi_synthetic_generator
SLE-00000030,2025-07-10,2025-07-10,GSA-003,VEH-0000114,CUS-00001778,EMP-00029,EMP-00024,EMP-00028,,Used Retail,true,1,4614.89,,4981.20,4896.52,2687.92,1018.86,495.00,413.11,2216.30,2629.41,1952.40,1800.83,2848.15,0.00,34,arpi_synthetic_generator
SLE-00000031,2025-07-11,2025-07-13,GSA-002,VEH-0000258,CUS-00002257,EMP-00016,EMP-00023,EMP-00017,,Used Retail,true,1,15036.35,,16798.84,15656.52,10352.30,2818.86,750.00,1115.19,1887.95,3003.14,0.00,0.00,1500.15,13536.20,140,arpi_synthetic_generator
SLE-00000032,2025-07-12,2025-07-12,GSA-002,VEH-0000313,CUS-00000286,EMP-00022,EMP-00013,,,Used Retail,true,1,12627.18,,12851.48,12851.48,7817.28,1836.51,750.00,2223.39,527.76,2751.15,0.00,0.00,1655.74,10971.44,16,arpi_synthetic_generator
SLE-00000033,2025-07-12,2025-07-12,GSA-003,VEH-0000367,,EMP-00025,EMP-00030,,,Wholesale,false,1,10269.45,,14435.26,14189.86,8722.55,2280.60,495.00,-1228.70,0.00,-1228.70,0.00,0.00,0.00,0.00,57,arpi_synthetic_generator
SLE-00000034,2025-07-12,2025-07-13,GSA-002,VEH-0000526,CUS-00002069,EMP-00022,EMP-00023,EMP-00017,,Used Retail,true,1,32541.22,,36265.85,34416.29,25049.20,2484.29,750.00,4257.73,843.10,5100.83,0.00,0.00,5206.17,27335.05,102,arpi_synthetic_generator
SLE-00000035,2025-07-12,2025-07-17,GSA-003,VEH-0000621,CUS-00002261,EMP-00026,EMP-00024,EMP-00028,,Used Retail,true,1,30261.33,,32015.75,31471.48,23024.65,1444.91,495.00,5296.77,2047.74,7344.51,0.00,0.00,2862.39,0.00,31,arpi_synthetic_generator
SLE-00000036,2025-07-12,2025-07-12,GSA-002,VEH-0000656,CUS-00000850,EMP-00022,EMP-00014,EMP-00017,,New Retail,true,1,37913.25,38668.85,38520.67,38520.67,35511.46,14.00,750.00,1637.79,418.75,2056.54,0.00,0.00,4845.33,0.00,18,arpi_synthetic_generator
SLE-00000037,2025-07-14,2025-07-14,GSA-001,VEH-0000204,CUS-00001016,EMP-00004,EMP-00008,,,Certified Retail,true,1,17269.86,,18362.34,17738.02,11062.90,3101.68,795.00,2310.28,967.68,3277.96,6452.02,5826.80,3425.39,7392.45,62,arpi_synthetic_generator
SLE-00000038,2025-07-14,2025-07-16,GSA-002,VEH-0000351,CUS-00001180,EMP-00015,EMP-00014,EMP-00017,,Certified Retail,true,1,4498.87,,4732.90,4652.44,2784.54,1043.98,750.00,-79.65,1031.95,952.30,0.00,0.00,3657.40,841.47,35,arpi_synthetic_generator
SLE-00000039,2025-07-14,2025-07-16,GSA-001,VEH-0000648,CUS-00000156,EMP-00012,EMP-00008,EMP-00005,,New Retail,true,1,35902.68,38185.84,38791.70,38442.57,35467.47,18.00,795.00,-377.79,1250.44,872.65,0.00,0.00,2348.71,33553.97,52,arpi_synthetic_generator
SLE-00000040,2025-07-14,2025-07-14,GSA-001,VEH-0000681,CUS-00001672,EMP-00004,EMP-00002,EMP-00005,,New Retail,true,1,48679.36,50273.31,50155.57,49704.17,45818.34,25.00,795.00,2041.02,1129.98,3171.00,12006.69,10962.15,8591.82,28080.85,39,arpi_synthetic_generator
SLE-00000041,2025-07-14,2025-07-14,GSA-003,VEH-0000829,CUS-00002236,EMP-00025,EMP-00030,EMP-00028,,Used Retail,true,1,22188.59,,25076.35,22944.86,17741.94,2158.68,495.00,1792.97,1047.86,2840.83,0.00,0.00,6385.10,15803.49,152,arpi_synthetic_generator
SLE-00000042,2025-07-15,2025-07-16,GSA-002,VEH-0000042,CUS-00002191,EMP-00022,EMP-00014,EMP-00017,,New Retail,true,1,24810.70,25724.76,25817.39,25585.03,23524.78,151.00,750.00,384.92,748.80,1133.72,0.00,0.00,2675.12,22135.58,42,arpi_synthetic_generator
SLE-00000043,2025-07-15,2025-07-15,GSA-003,VEH-0000074,CUS-00001801,EMP-00025,EMP-00024,EMP-00028,,Used Retail,true,1,6409.48,,6967.43,6612.09,4106.18,1387.61,495.00,420.69,796.05,1216.74,0.00,0.00,2942.47,3467.01,118,arpi_synthetic_generator
SLE-00000044,2025-07-15,2025-07-15,GSA-003,VEH-0000181,CUS-00000156,EMP-00026,EMP-00024,EMP-00028,,Used Retail,true,1,14052.82,,14658.72,14409.52,8956.79,2318.82,495.00,2282.21,1262.68,3544.89,2597.56,2305.98,1595.61,9859.65,33,arpi_synthetic_generator
SLE-00000045,2025-07-15,2025-07-15,GSA-001,VEH-0000324,CUS-00000327,EMP-00012,EMP-00002,EMP-00005,,Used Retail,true,1,25447.02,,26396.15,25947.42,16338.23,2599.57,795.00,5714.22,1300.88,7015.10,0.00,0.00,5914.09,19532.93,35,arpi_synthetic_generator
SLE-00000046,2025-07-15,2025-07-15,GSA-003,VEH-0000419,CUS-00000408,EMP-00026,EMP-00024,EMP-00028,,Used Retail,true,1,9669.06,,10585.98,10046.10,6051.53,1893.40,495.00,1229.13,831.23,2060.36,0.00,0.00,8677.37,991.69,90,arpi_synthetic_generator
SLE-00000047,2025-07-15,2025-07-16,GSA-001,VEH-0000480,CUS-00000233,EMP-00012,EMP-00008,EMP-00005,,Used Retail,true,1,31534.91,,33787.87,32639.08,24660.84,1199.55,795.00,4879.52,1171.55,6051.07,11163.30,9687.30,1093.59,0.00,78,arpi_synthetic_generator
SLE-00000048,2025-07-15,2025-07-16,GSA-003,VEH-0000509,CUS-00001355,EMP-00027,EMP-00024,EMP-00028,,Used Retail,true,1,24910.43,,25840.93,25840.93,18462.71,1945.67,495.00,4007.05,1390.50,5397.55,4551.03,4333.27,6131.76,14227.64,6,arpi_synthetic_generator
SLE-00000049,2025-07-15,2025-07-16,GSA-001,VEH-0000748,CUS-00001117,EMP-00010,EMP-00001,EMP-00005,,New Retail,true,1,38261.89,40293.65,40431.45,39703.68,36861.64,106.00,795.00,499.25,1186.85,1686.10,10779.48,10749.07,6175.60,0.00,85,arpi_synthetic_generator
SLE-00000050,2025-07-15,2025-07-15,GSA-002,VEH-0000792,CUS-00000176,EMP-00016,EMP-00014,EMP-00017,,New Retail,true,1,36403.13,38980.58,38933.96,38933.96,35480.71,106.00,750.00,66.42,757.12,823.54,0.00,0.00,1690.15,0.00,29,arpi_synthetic_generator
SLE-00000051,2025-07-15,2025-07-15,GSA-002,VEH-0000832,CUS-00000532,EMP-00018,EMP-00023,EMP-00017,,Certified Retail,true,1,10534.15,,11849.12,10841.94,7174.20,2185.29,750.00,424.66,1799.15,2223.81,0.00,0.00,873.02,9661.13,151,arpi_synthetic_generator
SLE-00000052,2025-07-16,2025-07-18,GSA-002,VEH-0000012,CUS-00000111,EMP-00015,EMP-00023,EMP-00017,,Certified Retail,true,1,28492.90,,29719.67,29214.44,19243.64,2564.69,750.00,5934.57,2180.72,8115.29,0.00,0.00,6920.07,0.00,43,arpi_synthetic_generator
SLE-00000053,2025-07-16,2025-07-16,GSA-002,VEH-0000107,,EMP-00018,EMP-00013,,,Dealer Trade,false,1,28703.01,31769.36,31991.84,31415.99,28507.28,0.00,750.00,-554.27,0.00,-554.27,0.00,0.00,0.00,0.00,77,arpi_synthetic_generator
SLE-00000054,2025-07-16,2025-07-16,GSA-003,VEH-0000308,CUS-00002285,EMP-00029,EMP-00024,EMP-00028,,Used Retail,true,1,44679.87,,46197.07,46197.07,32828.78,1734.03,495.00,9622.06,1802.40,11424.46,0.00,0.00,7146.60,37533.27,20,arpi_synthetic_generator
SLE-00000055,2025-07-16,2025-07-18,GSA-003,VEH-0000607,CUS-00000753,EMP-00026,EMP-00030,EMP-00028,,Used Retail,true,1,2932.08,,3079.91,2975.19,1710.58,764.75,495.00,-38.25,807.28,769.03,0.00,0.00,2932.08,0.00,89,arpi_synthetic_generator
SLE-00000056,2025-07-16,2025-07-17,GSA-001,VEH-0000710,CUS-00001258,EMP-00003,EMP-00002,EMP-00005,,Certified Retail,true,1,14470.91,,14843.54,14843.54,8471.59,2522.61,795.00,2681.71,409.33,3091.04,5612.23,5488.09,3988.22,4870.46,19,arpi_synthetic_generator
SLE-00000057,2025-07-17,2025-07-19,GSA-003,VEH-0000095,CUS-00002265,EMP-00029,EMP-00024,,,Used Retail,true,1,44109.84,,47539.14,47539.14,34536.03,1991.80,495.00,7087.01,1257.43,8344.44,0.00,0.00,969.92,43139.92,18,arpi_synthetic_generator
SLE-00000058,2025-07-17,2025-07-17,GSA-001,VEH-0000182,CUS-00001068,EMP-00012,EMP-00008,EMP-00005,,Used Retail,true,1,39466.36,,40715.66,40715.66,31338.67,1175.33,795.00,6157.36,1899.20,8056.56,0.00,0.00,2000.89,37465.47,15,arpi_synthetic_generator
SLE-00000059,2025-07-17,2025-07-17,GSA-003,VEH-0000327,,EMP-00029,EMP-00024,,,Wholesale,false,1,11278.33,,17593.00,16994.84,11390.09,1722.01,495.00,-2328.77,0.00,-2328.77,0.00,0.00,0.00,0.00,63,arpi_synthetic_generator
SLE-00000060,2025-07-17,2025-07-18,GSA-002,VEH-0000606,CUS-00001837,EMP-00016,EMP-00013,EMP-00017,,Lease,true,1,23159.96,24833.11,25103.27,24425.48,22815.87,53.00,750.00,-458.91,766.51,307.60,6079.09,4978.02,3908.44,13172.43,107,arpi_synthetic_generator
SLE-00000061,2025-07-17,2025-07-22,GSA-002,VEH-0000774,CUS-00000428,EMP-00016,EMP-00013,,,Certified Retail,true,1,6340.65,,6812.87,6812.87,3708.56,1284.23,750.00,597.86,670.43,1268.29,0.00,0.00,804.64,5536.01,28,arpi_synthetic_generator
SLE-00000062,2025-07-18,2025-07-19,GSA-002,VEH-0000400,CUS-00000508,EMP-00022,EMP-00014,EMP-00017,,Lease,true,1,23666.36,25014.23,25413.56,25184.84,22514.93,162.00,750.00,239.43,737.04,976.47,0.00,0.00,1753.70,21912.66,31,arpi_synthetic_generator
SLE-00000063,2025-07-18,2025-07-20,GSA-002,VEH-0000836,CUS-00000355,EMP-00015,EMP-00013,EMP-00017,,New Retail,true,1,24065.77,24467.27,24623.98,24623.98,21904.08,9.00,750.00,1402.69,796.86,2199.55,0.00,0.00,3227.42,20838.35,22,arpi_synthetic_generator
SLE-00000064,2025-07-18,2025-07-18,GSA-001,VEH-0000849,CUS-00002426,EMP-00012,EMP-00001,EMP-00005,,New Retail,true,1,46195.88,48344.70,49132.04,48689.85,43133.77,19.00,795.00,2248.11,666.97,2915.08,0.00,0.00,3706.79,42489.09,48,arpi_synthetic_generator
SLE-00000065,2025-07-19,2025-07-22,GSA-002,VEH-0000551,CUS-00001063,EMP-00015,EMP-00013,EMP-00017,,New Retail,true,1,35586.88,38701.24,38577.78,37536.18,35142.16,118.00,750.00,-423.28,688.47,265.19,7962.79,7640.29,1724.78,25899.31,107,arpi_synthetic_generator
SLE-00000066,2025-07-19,2025-07-19,GSA-003,VEH-0000702,CUS-00001557,EMP-00029,EMP-00024,EMP-00028,,Used Retail,true,1,22549.46,,25848.67,23212.11,19064.05,1080.93,495.00,1909.48,820.50,2729.98,0.00,0.00,4040.72,18508.74,185,arpi_synthetic_generator
SLE-00000067,2025-07-19,2025-07-19,GSA-001,VEH-0000785,CUS-00002061,EMP-00007,EMP-00001,EMP-00005,,Used Retail,true,1,31485.11,,34189.32,33608.10,24702.08,1826.07,795.00,4161.96,970.87,5132.83,0.00,0.00,7376.03,24109.08,38,arpi_synthetic_generator
SLE-00000068,2025-07-19,2025-07-20,GSA-002,VEH-0000896,CUS-00000863,EMP-00018,EMP-00023,EMP-00017,,Used Retail,true,1,20695.71,,22057.09,21307.15,16176.31,1568.02,750.00,2201.38,757.61,2958.99,3208.86,2928.71,2560.12,14926.73,80,arpi_synthetic_generator
SLE-00000069,2025-07-20,2025-07-20,GSA-001,VEH-0000472,CUS-00000949,EMP-00006,EMP-00008,EMP-00005,,Used Retail,true,1,33333.26,,35613.08,34402.24,26206.52,1406.38,795.00,4925.36,1426.44,6351.80,11683.68,11293.84,5297.62,0.00,69,arpi_synthetic_generator
SLE-00000070,2025-07-21,2025-07-21,GSA-003,VEH-0000060,CUS-00000466,EMP-00025,EMP-00024,EMP-00028,,Used Retail,true,1,43931.75,,47009.50,47009.50,31822.25,1369.94,495.00,10244.56,1992.03,12236.59,16936.07,16405.83,5020.78,21974.90,26,arpi_synthetic_generator
SLE-00000071,2025-07-21,2025-07-23,GSA-003,VEH-0000072,CUS-00001631,EMP-00025,EMP-00024,,,Used Retail,true,1,12471.96,,13195.11,12746.48,7785.33,2344.19,495.00,1847.44,1073.77,2921.21,0.00,0.00,8093.24,4378.72,89,arpi_synthetic_generator
SLE-00000072,2025-07-21,2025-07-22,GSA-003,VEH-0000157,CUS-00001889,EMP-00025,EMP-00024,EMP-00028,,Used Retail,true,1,4483.27,,4960.76,4876.43,2669.77,1014.14,495.00,304.36,1589.26,1893.62,0.00,0.00,2435.17,2048.10,39,arpi_synthetic_generator
SLE-00000073,2025-07-21,2025-07-21,GSA-001,VEH-0000486,CUS-00002216,EMP-00003,EMP-00008,EMP-00005,,New Retail,true,1,37616.99,39861.11,40416.45,39688.95,35940.21,36.00,795.00,845.78,1385.59,2231.37,16607.94,15277.95,4254.25,16754.80,74,arpi_synthetic_generator
SLE-00000074,2025-07-21,2025-07-21,GSA-001,VEH-0000672,CUS-00000290,EMP-00007,EMP-00001,EMP-00005,,Used Retail,true,1,34638.26,,36152.80,35538.20,26675.82,1499.57,795.00,5667.87,747.82,6415.69,0.00,0.00,5407.66,29230.60,56,arpi_synthetic_generator
SLE-00000075,2025-07-21,2025-07-23,GSA-001,VEH-0000859,CUS-00000142,EMP-00007,EMP-00001,,,New Retail,true,1,45646.98,49955.82,49890.13,48543.10,45646.53,119.00,795.00,-913.55,1385.40,471.85,0.00,0.00,1603.42,44043.56,98,arpi_synthetic_generator
SLE-00000076,2025-07-21,2025-07-23,GSA-001,VEH-0000890,CUS-00000934,EMP-00003,EMP-00001,EMP-00005,,Used Retail,true,1,7288.20,,7694.28,7563.48,4734.63,1551.00,795.00,207.57,1084.17,1291.74,1441.41,1370.93,7288.20,0.00,53,arpi_synthetic_generator
SLE-00000077,2025-07-22,2025-07-22,GSA-002,VEH-0000117,CUS-00000856,EMP-00022,EMP-00023,EMP-00017,,Certified Retail,true,1,13193.74,,13883.42,13411.38,7751.16,2335.30,750.00,2357.28,923.34,3280.62,0.00,0.00,4509.37,8684.37,62,arpi_synthetic_generator
SLE-00000078,2025-07-22,2025-07-22,GSA-003,VEH-0000180,CUS-00002055,EMP-00029,EMP-00024,EMP-00028,,Used Retail,true,1,20126.45,,22215.40,21460.08,12743.38,3394.20,495.00,3493.87,793.47,4287.34,4665.30,4262.54,6118.62,9342.53,77,arpi_synthetic_generator
SLE-00000079,2025-07-22,2025-07-22,GSA-002,VEH-0000515,CUS-00001510,EMP-00015,EMP-00023,EMP-00017,,New Retail,true,1,31658.89,32076.45,32023.36,32023.36,29056.93,75.00,750.00,1776.96,239.66,2016.62,0.00,0.00,4658.96,26999.93,12,arpi_synthetic_generator
SLE-00000080,2025-07-22,2025-07-22,GSA-002,VEH-0000556,,EMP-00018,EMP-00013,,,Wholesale,false,1,8286.22,,12180.19,12180.19,6520.44,2015.31,750.00,-999.53,0.00,-999.53,0.00,0.00,0.00,0.00,25,arpi_synthetic_generator
SLE-00000081,2025-07-22,2025-07-22,GSA-002,VEH-0000581,CUS-00002397,EMP-00018,EMP-00014,EMP-00017,,New Retail,true,1,23692.34,24697.20,25000.43,24775.43,22080.41,149.00,750.00,712.93,2061.77,2774.70,2690.80,2656.55,3721.15,0.00,39,arpi_synthetic_generator
SLE-00000082,2025-07-22,2025-07-22,GSA-001,VEH-0000599,CUS-00000546,EMP-00004,EMP-00008,EMP-00005,,New Retail,true,1,36886.31,37720.68,38366.57,37675.97,34617.44,54.00,795.00,1419.87,1551.11,2970.98,9102.23,8709.30,2800.82,24983.26,62,arpi_synthetic_generator
SLE-00000083,2025-07-22,2025-07-22,GSA-002,VEH-0000691,CUS-00000151,EMP-00022,EMP-00013,EMP-00017,,Certified Retail,true,1,17126.59,,18965.79,17676.12,11027.83,3187.24,750.00,2161.52,384.87,2546.39,2395.17,1995.44,2833.11,11898.31,140,arpi_synthetic_generator
SLE-00000084,2025-07-22,2025-07-23,GSA-002,VEH-0000871,CUS-00000675,EMP-00015,EMP-00023,EMP-00017,,Used Retail,true,1,3052.86,,3329.08,3215.89,1959.49,829.47,750.00,-486.10,672.12,186.02,0.00,0.00,2952.42,0.00,69,arpi_synthetic_generator
SLE-00000085,2025-07-22,2025-07-27,GSA-001,VEH-0000872,,EMP-00006,EMP-00001,,,Dealer Trade,false,1,33642.69,,45780.94,45002.66,30487.92,2724.24,795.00,-364.47,0.00,-364.47,0.00,0.00,0.00,0.00,32,arpi_synthetic_generator
SLE-00000086,2025-07-23,2025-07-23,GSA-003,VEH-0000037,CUS-00000697,EMP-00029,EMP-00024,EMP-00028,,Used Retail,true,1,12270.38,,12676.13,12676.13,8488.11,724.19,495.00,2563.08,1116.97,3680.05,0.00,0.00,1993.55,0.00,4,arpi_synthetic_generator
SLE-00000087,2025-07-23,2025-07-23,GSA-002,VEH-0000104,CUS-00000816,EMP-00016,EMP-00014,EMP-00017,,New Retail,true,1,39507.91,40601.42,40655.74,40655.74,37099.59,81.00,750.00,1577.32,1858.70,3436.02,0.00,0.00,5835.85,0.00,21,arpi_synthetic_generator
SLE-00000088,2025-07-23,2025-07-23,GSA-003,VEH-0000172,CUS-00000507,EMP-00029,EMP-00030,,,Used Retail,true,1,7667.37,,7943.80,7808.76,4619.05,1520.95,495.00,1032.37,1289.55,2321.92,0.00,0.00,2260.44,5406.93,34,arpi_synthetic_generator
SLE-00000089,2025-07-23,2025-07-24,GSA-001,VEH-0000582,,EMP-00006,EMP-00008,,,Wholesale,false,1,11015.02,,16015.54,15743.28,9362.61,2754.28,795.00,-1896.87,0.00,-1896.87,0.00,0.00,0.00,0.00,36,arpi_synthetic_generator
SLE-00000090,2025-07-23,2025-07-23,GSA-001,VEH-0000725,CUS-00001327,EMP-00004,EMP-00002,EMP-00005,,New Retail,true,1,37958.40,38879.08,38849.14,38499.50,35546.56,140.00,795.00,1476.84,669.86,2146.70,7432.39,7181.43,3775.05,26750.96,40,arpi_synthetic_generator
