sales_target_id,target_month_date_key,dealership_id,target_scope_type,target_scope_id,department_name,employee_id,kpi_id,target_value,stretch_target_value,source_system
TGT-00000033,20250901,GSA-002,Department,Finance,Finance,,KPI-GRS-002,43153.64,46605.93,arpi_synthetic_generator
TGT-00000034,20250901,GSA-002,Department,Sales,Sales,,KPI-GRS-001,64730.47,69908.91,arpi_synthetic_generator
TGT-00000035,20250901,GSA-002,Store,GSA-002,,,KPI-GRS-003,107884.11,116514.84,arpi_synthetic_generator
TGT-00000036,20250901,GSA-002,Store,GSA-002,,,KPI-SLS-001,36.00,39.00,arpi_synthetic_generator
TGT-00000037,20251001,GSA-002,Department,Finance,Finance,,KPI-GRS-002,37785.73,40808.59,arpi_synthetic_generator
TGT-00000038,20251001,GSA-002,Department,Sales,Sales,,KPI-GRS-001,56678.59,61212.88,arpi_synthetic_generator
TGT-00000039,20251001,GSA-002,Store,GSA-002,,,KPI-GRS-003,94464.32,102021.47,arpi_synthetic_generator
TGT-00000040,20251001,GSA-002,Store,GSA-002,,,KPI-SLS-001,34.00,37.00,arpi_synthetic_generator
TGT-00000041,20251101,GSA-002,Department,Finance,Finance,,KPI-GRS-002,40956.22,44232.72,arpi_synthetic_generator
TGT-00000042,20251101,GSA-002,Department,Sales,Sales,,KPI-GRS-001,61434.33,66349.08,arpi_synthetic_generator
TGT-00000043,20251101,GSA-002,Store,GSA-002,,,KPI-GRS-003,102390.55,110581.79,arpi_synthetic_generator
TGT-00000044,20251101,GSA-002,Store,GSA-002,,,KPI-SLS-001,34.00,37.00,arpi_synthetic_generator
TGT-00000045,20251201,GSA-002,Department,Finance,Finance,,KPI-GRS-002,40280.45,43502.89,arpi_synthetic_generator
TGT-00000046,20251201,GSA-002,Department,Sales,Sales,,KPI-GRS-001,60420.67,65254.32,arpi_synthetic_generator
TGT-00000047,20251201,GSA-002,Store,GSA-002,,,KPI-GRS-003,100701.12,108757.21,arpi_synthetic_generator
TGT-00000048,20251201,GSA-002,Store,GSA-002,,,KPI-SLS-001,35.00,38.00,arpi_synthetic_generator
TGT-00000049,20250701,GSA-003,Department,Finance,Finance,,KPI-GRS-002,26672.93,28806.76,arpi_synthetic_generator
TGT-00000050,20250701,GSA-003,Department,Sales,Sales,,KPI-GRS-001,75915.25,81988.47,arpi_synthetic_generator
TGT-00000051,20250701,GSA-003,Store,GSA-003,,,KPI-GRS-003,102588.18,110795.23,arpi_synthetic_generator
TGT-00000052,20250701,GSA-003,Store,GSA-003,,,KPI-SLS-001,24.00,26.00,arpi_synthetic_generator
TGT-00000053,20250801,GSA-003,Department,Finance,Finance,,KPI-GRS-002,26159.60,28252.37,arpi_synthetic_generator
TGT-00000054,20250801,GSA-003,Department,Sales,Sales,,KPI-GRS-001,74454.25,80410.59,arpi_synthetic_generator
TGT-00000055,20250801,GSA-003,Store,GSA-003,,,KPI-GRS-003,100613.85,108662.96,arpi_synthetic_generator
TGT-00000056,20250801,GSA-003,Store,GSA-003,,,KPI-SLS-001,25.00,27.00,arpi_synthetic_generator
TGT-00000057,20250901,GSA-003,Department,Finance,Finance,,KPI-GRS-002,24000.71,25920.77,arpi_synthetic_generator
TGT-00000058,20250901,GSA-003,Department,Sales,Sales,,KPI-GRS-001,68309.73,73774.51,arpi_synthetic_generator
TGT-00000059,20250901,GSA-003,Store,GSA-003,,,KPI-GRS-003,92310.44,99695.28,arpi_synthetic_generator
TGT-00000060,20250901,GSA-003,Store,GSA-003,,,KPI-SLS-001,23.00,25.00,arpi_synthetic_generator
TGT-00000061,20251001,GSA-003,Department,Finance,Finance,,KPI-GRS-002,24765.09,26746.30,arpi_synthetic_generator
TGT-00000062,20251001,GSA-003,Department,Sales,Sales,,KPI-GRS-001,70485.26,76124.08,arpi_synthetic_generator
TGT-00000063,20251001,GSA-003,Store,GSA-003,,,KPI-GRS-003,95250.35,102870.38,arpi_synthetic_generator
TGT-00000064,20251001,GSA-003,Store,GSA-003,,,KPI-SLS-001,23.00,25.00,arpi_synthetic_generator
TGT-00000065,20251101,GSA-003,Department,Finance,Finance,,KPI-GRS-002,19231.67,20770.20,arpi_synthetic_generator
TGT-00000066,20251101,GSA-003,Department,Sales,Sales,,KPI-GRS-001,54736.29,59115.19,arpi_synthetic_generator
TGT-00000067,20251101,GSA-003,Store,GSA-003,,,KPI-GRS-003,73967.96,79885.40,arpi_synthetic_generator
TGT-00000068,20251101,GSA-003,Store,GSA-003,,,KPI-SLS-001,19.00,21.00,arpi_synthetic_generator
TGT-00000069,20251201,GSA-003,Department,Finance,Finance,,KPI-GRS-002,22111.92,23880.87,arpi_synthetic_generator
TGT-00000070,20251201,GSA-003,Department,Sales,Sales,,KPI-GRS-001,62933.94,67968.66,arpi_synthetic_generator
TGT-00000071,20251201,GSA-003,Store,GSA-003,,,KPI-GRS-003,85045.86,91849.53,arpi_synthetic_generator
TGT-00000072,20251201,GSA-003,Store,GSA-003,,,KPI-SLS-001,22.00,24.00,arpi_synthetic_generator
