inventory_accounting_id,dealership_id,vehicle_id,accounting_date,acquisition_date,control_account_category,acquisition_cost,capitalized_transportation,capitalized_reconditioning,capitalized_accessories,other_capitalized_costs,write_down_amount,current_book_value,floorplan_principal,days_in_stock,source_system
IAS-00000038,GSA-001,VEH-0000354,2025-07-31,2025-06-20,Certified Vehicle Inventory,17559.43,450.00,1581.89,0.00,425.00,0.00,20016.32,17559.43,41,SYNTHETIC-DMS-ACCOUNTING
IAS-00000039,GSA-001,VEH-0000358,2025-07-31,2025-07-04,New Vehicle Inventory,46186.10,895.00,33.00,0.00,0.00,0.00,47114.10,46186.10,27,SYNTHETIC-DMS-ACCOUNTING
IAS-00000040,GSA-001,VEH-0000379,2025-07-31,2025-05-09,Used Vehicle Inventory,35468.91,450.00,1222.16,0.00,0.00,0.00,37141.07,0.00,83,SYNTHETIC-DMS-ACCOUNTING
IAS-00000041,GSA-001,VEH-0000380,2025-07-31,2025-04-15,Used Vehicle Inventory,16612.40,450.00,1289.02,0.00,0.00,0.00,18351.42,16612.40,107,SYNTHETIC-DMS-ACCOUNTING
IAS-00000042,GSA-001,VEH-0000394,2025-07-31,2025-04-05,New Vehicle Inventory,35346.73,895.00,92.00,0.00,0.00,0.00,36333.73,35346.73,117,SYNTHETIC-DMS-ACCOUNTING
IAS-00000043,GSA-001,VEH-0000402,2025-07-31,2025-05-16,Used Vehicle Inventory,17661.00,0.00,2147.69,249.00,0.00,0.00,20057.69,0.00,76,SYNTHETIC-DMS-ACCOUNTING
IAS-00000044,GSA-001,VEH-0000411,2025-07-31,2025-06-18,Certified Vehicle Inventory,13938.91,325.00,2533.50,0.00,425.00,0.00,17222.41,0.00,43,SYNTHETIC-DMS-ACCOUNTING
IAS-00000045,GSA-001,VEH-0000425,2025-07-31,2025-07-08,Used Vehicle Inventory,13197.87,0.00,712.95,880.00,0.00,0.00,14790.82,0.00,23,SYNTHETIC-DMS-ACCOUNTING
IAS-00000046,GSA-001,VEH-0000436,2025-07-31,2025-05-30,New Vehicle Inventory,35164.31,895.00,30.00,0.00,0.00,0.00,36089.31,35164.31,62,SYNTHETIC-DMS-ACCOUNTING
IAS-00000047,GSA-001,VEH-0000437,2025-07-31,2025-06-27,Used Vehicle Inventory,9513.30,0.00,1861.57,0.00,0.00,0.00,11374.87,0.00,34,SYNTHETIC-DMS-ACCOUNTING
IAS-00000048,GSA-001,VEH-0000445,2025-07-31,2025-07-09,New Vehicle Inventory,33560.19,895.00,151.00,0.00,0.00,0.00,34606.19,33560.19,22,SYNTHETIC-DMS-ACCOUNTING
IAS-00000049,GSA-001,VEH-0000463,2025-07-31,2025-06-16,Used Vehicle Inventory,12238.48,450.00,1911.42,0.00,0.00,0.00,14599.90,12238.48,45,SYNTHETIC-DMS-ACCOUNTING
IAS-00000050,GSA-001,VEH-0000469,2025-07-31,2025-05-22,New Vehicle Inventory,35268.13,895.00,100.00,0.00,0.00,0.00,36263.13,35268.13,70,SYNTHETIC-DMS-ACCOUNTING
IAS-00000051,GSA-001,VEH-0000471,2025-07-31,2025-05-02,New Vehicle Inventory,37625.73,895.00,94.00,0.00,0.00,0.00,38614.73,37625.73,90,SYNTHETIC-DMS-ACCOUNTING
IAS-00000052,GSA-001,VEH-0000476,2025-07-31,2025-06-23,Certified Vehicle Inventory,6551.43,325.00,2023.37,0.00,425.00,0.00,9324.80,0.00,38,SYNTHETIC-DMS-ACCOUNTING
IAS-00000053,GSA-001,VEH-0000479,2025-07-31,2025-07-17,Used Vehicle Inventory,21708.29,0.00,1398.43,0.00,0.00,0.00,23106.72,21708.29,14,SYNTHETIC-DMS-ACCOUNTING
IAS-00000054,GSA-001,VEH-0000483,2025-07-31,2025-05-12,Used Vehicle Inventory,3209.84,450.00,1154.56,0.00,0.00,0.00,4814.40,0.00,80,SYNTHETIC-DMS-ACCOUNTING
IAS-00000055,GSA-001,VEH-0000500,2025-07-31,2025-07-09,Certified Vehicle Inventory,25833.49,450.00,2212.55,0.00,425.00,0.00,28921.04,0.00,22,SYNTHETIC-DMS-ACCOUNTING
IAS-00000056,GSA-001,VEH-0000503,2025-07-31,2025-03-12,Used Vehicle Inventory,32592.09,450.00,1070.14,0.00,0.00,1303.68,32808.55,32592.09,141,SYNTHETIC-DMS-ACCOUNTING
IAS-00000057,GSA-001,VEH-0000506,2025-07-31,2025-06-27,Certified Vehicle Inventory,6475.20,0.00,2003.55,0.00,425.00,0.00,8903.75,6475.20,34,SYNTHETIC-DMS-ACCOUNTING
IAS-00000058,GSA-001,VEH-0000518,2025-07-31,2025-06-27,Used Vehicle Inventory,40392.95,0.00,1579.87,0.00,0.00,0.00,41972.82,40392.95,34,SYNTHETIC-DMS-ACCOUNTING
IAS-00000059,GSA-001,VEH-0000527,2025-07-31,2025-05-25,Used Vehicle Inventory,14795.40,0.00,623.34,0.00,0.00,0.00,15418.74,14795.40,67,SYNTHETIC-DMS-ACCOUNTING
IAS-00000060,GSA-001,VEH-0000530,2025-07-31,2025-07-28,Used Vehicle Inventory,10533.57,0.00,1247.30,0.00,0.00,0.00,11780.87,10533.57,3,SYNTHETIC-DMS-ACCOUNTING
IAS-00000061,GSA-001,VEH-0000533,2025-07-31,2025-04-17,New Vehicle Inventory,46156.06,895.00,69.00,0.00,0.00,0.00,47120.06,46156.06,105,SYNTHETIC-DMS-ACCOUNTING
IAS-00000062,GSA-001,VEH-0000537,2025-07-31,2025-06-19,Used Vehicle Inventory,12108.75,450.00,1860.26,0.00,0.00,0.00,14419.01,0.00,42,SYNTHETIC-DMS-ACCOUNTING
IAS-00000063,GSA-001,VEH-0000555,2025-07-31,2025-07-21,Used Vehicle Inventory,32941.64,0.00,1689.90,0.00,0.00,0.00,34631.54,32941.64,10,SYNTHETIC-DMS-ACCOUNTING
IAS-00000064,GSA-001,VEH-0000577,2025-07-31,2025-05-05,New Vehicle Inventory,38046.07,895.00,130.00,0.00,0.00,0.00,39071.07,38046.07,87,SYNTHETIC-DMS-ACCOUNTING
IAS-00000065,GSA-001,VEH-0000585,2025-07-31,2025-06-06,New Vehicle Inventory,36460.09,895.00,56.00,0.00,0.00,0.00,37411.09,36460.09,55,SYNTHETIC-DMS-ACCOUNTING
IAS-00000066,GSA-001,VEH-0000587,2025-07-31,2025-07-08,Used Vehicle Inventory,3441.33,0.00,1008.08,0.00,0.00,0.00,4449.41,3441.33,23,SYNTHETIC-DMS-ACCOUNTING
IAS-00000067,GSA-001,VEH-0000588,2025-07-31,2025-06-19,New Vehicle Inventory,35526.09,895.00,84.00,0.00,0.00,0.00,36505.09,35526.09,42,SYNTHETIC-DMS-ACCOUNTING
IAS-00000068,GSA-001,VEH-0000589,2025-07-31,2025-06-21,New Vehicle Inventory,44535.59,895.00,146.00,0.00,0.00,0.00,45576.59,44535.59,40,SYNTHETIC-DMS-ACCOUNTING
IAS-00000069,GSA-001,VEH-0000593,2025-07-31,2025-05-22,Used Vehicle Inventory,9963.47,0.00,1074.53,0.00,0.00,0.00,11038.00,9963.47,70,SYNTHETIC-DMS-ACCOUNTING
IAS-00000070,GSA-001,VEH-0000594,2025-07-31,2025-06-30,Certified Vehicle Inventory,12189.87,0.00,3019.09,0.00,425.00,0.00,15633.96,12189.87,31,SYNTHETIC-DMS-ACCOUNTING
IAS-00000071,GSA-001,VEH-0000611,2025-07-31,2025-06-27,New Vehicle Inventory,44760.29,895.00,92.00,0.00,0.00,0.00,45747.29,44760.29,34,SYNTHETIC-DMS-ACCOUNTING
IAS-00000072,GSA-001,VEH-0000617,2025-07-31,2025-07-21,New Vehicle Inventory,33768.13,895.00,67.00,575.00,0.00,0.00,35305.13,33768.13,10,SYNTHETIC-DMS-ACCOUNTING
IAS-00000073,GSA-001,VEH-0000637,2025-07-31,2025-07-01,New Vehicle Inventory,35869.78,895.00,81.00,0.00,0.00,0.00,36845.78,35869.78,30,SYNTHETIC-DMS-ACCOUNTING
IAS-00000074,GSA-001,VEH-0000647,2025-07-31,2025-07-19,Certified Vehicle Inventory,6529.56,325.00,2017.69,0.00,425.00,0.00,9297.25,6529.56,12,SYNTHETIC-DMS-ACCOUNTING
IAS-00000075,GSA-001,VEH-0000659,2025-07-31,2025-07-08,Certified Vehicle Inventory,13375.04,0.00,1931.80,0.00,425.00,0.00,15731.84,0.00,23,SYNTHETIC-DMS-ACCOUNTING
IAS-00000076,GSA-001,VEH-0000660,2025-07-31,2025-02-14,Certified Vehicle Inventory,27279.21,0.00,1452.54,0.00,425.00,1091.17,28065.58,27279.21,167,SYNTHETIC-DMS-ACCOUNTING
IAS-00000077,GSA-001,VEH-0000669,2025-07-31,2025-07-11,Certified Vehicle Inventory,16911.47,0.00,2602.66,0.00,425.00,0.00,19939.13,16911.47,20,SYNTHETIC-DMS-ACCOUNTING
IAS-00000078,GSA-001,VEH-0000670,2025-07-31,2025-06-10,New Vehicle Inventory,35676.79,895.00,8.00,575.00,0.00,0.00,37154.79,35676.79,51,SYNTHETIC-DMS-ACCOUNTING
IAS-00000079,GSA-001,VEH-0000677,2025-07-31,2025-07-23,Used Vehicle Inventory,3419.60,0.00,1209.10,0.00,0.00,0.00,4628.70,0.00,8,SYNTHETIC-DMS-ACCOUNTING
IAS-00000080,GSA-001,VEH-0000687,2025-07-31,2025-07-19,New Vehicle Inventory,46643.83,895.00,30.00,0.00,0.00,0.00,47568.83,46643.83,12,SYNTHETIC-DMS-ACCOUNTING
IAS-00000081,GSA-001,VEH-0000690,2025-07-31,2025-06-09,Certified Vehicle Inventory,13180.67,0.00,1347.22,575.00,425.00,0.00,15527.89,13180.67,52,SYNTHETIC-DMS-ACCOUNTING
IAS-00000082,GSA-001,VEH-0000696,2025-07-31,2025-06-11,New Vehicle Inventory,42850.05,895.00,126.00,0.00,0.00,0.00,43871.05,42850.05,50,SYNTHETIC-DMS-ACCOUNTING
IAS-00000083,GSA-001,VEH-0000699,2025-07-31,2025-06-19,Certified Vehicle Inventory,15124.37,0.00,4252.34,0.00,425.00,0.00,19801.71,15124.37,42,SYNTHETIC-DMS-ACCOUNTING
IAS-00000084,GSA-001,VEH-0000712,2025-07-31,2025-06-26,Used Vehicle Inventory,12095.60,0.00,3464.86,0.00,0.00,0.00,15560.46,12095.60,35,SYNTHETIC-DMS-ACCOUNTING
IAS-00000085,GSA-001,VEH-0000726,2025-07-31,2025-07-18,New Vehicle Inventory,37247.54,895.00,44.00,249.00,0.00,0.00,38435.54,37247.54,13,SYNTHETIC-DMS-ACCOUNTING
IAS-00000086,GSA-001,VEH-0000738,2025-07-31,2025-07-21,New Vehicle Inventory,35569.24,895.00,53.00,0.00,0.00,0.00,36517.24,35569.24,10,SYNTHETIC-DMS-ACCOUNTING
IAS-00000087,GSA-001,VEH-0000742,2025-07-31,2025-06-17,Used Vehicle Inventory,3992.55,0.00,1358.06,0.00,0.00,0.00,5350.61,0.00,44,SYNTHETIC-DMS-ACCOUNTING
IAS-00000088,GSA-001,VEH-0000756,2025-07-31,2025-07-10,Used Vehicle Inventory,28243.40,450.00,1115.11,0.00,0.00,0.00,29808.51,0.00,21,SYNTHETIC-DMS-ACCOUNTING
IAS-00000089,GSA-001,VEH-0000763,2025-07-31,2025-07-09,Used Vehicle Inventory,25341.34,0.00,1088.11,249.00,0.00,0.00,26678.45,25341.34,22,SYNTHETIC-DMS-ACCOUNTING
IAS-00000090,GSA-001,VEH-0000771,2025-07-31,2025-07-04,New Vehicle Inventory,36093.49,895.00,94.00,0.00,0.00,0.00,37082.49,36093.49,27,SYNTHETIC-DMS-ACCOUNTING
IAS-00000091,GSA-001,VEH-0000784,2025-07-31,2025-06-19,Used Vehicle Inventory,16316.97,450.00,1509.72,0.00,0.00,0.00,18276.69,16316.97,42,SYNTHETIC-DMS-ACCOUNTING
IAS-00000092,GSA-001,VEH-0000811,2025-07-31,2025-03-13,New Vehicle Inventory,34083.89,895.00,35.00,0.00,0.00,1363.36,33650.53,34083.89,140,SYNTHETIC-DMS-ACCOUNTING
IAS-00000093,GSA-001,VEH-0000842,2025-07-31,2025-06-30,Certified Vehicle Inventory,28528.25,0.00,1780.52,0.00,425.00,0.00,30733.77,28528.25,31,SYNTHETIC-DMS-ACCOUNTING
IAS-00000094,GSA-001,VEH-0000845,2025-07-31,2025-04-16,Used Vehicle Inventory,24529.67,0.00,2233.07,0.00,0.00,0.00,26762.74,24529.67,106,SYNTHETIC-DMS-ACCOUNTING
IAS-00000095,GSA-001,VEH-0000860,2025-07-31,2025-06-17,New Vehicle Inventory,36154.48,895.00,82.00,0.00,0.00,0.00,37131.48,36154.48,44,SYNTHETIC-DMS-ACCOUNTING
IAS-00000096,GSA-001,VEH-0000864,2025-07-31,2025-06-13,Used Vehicle Inventory,3425.11,0.00,1210.53,0.00,0.00,0.00,4635.64,0.00,48,SYNTHETIC-DMS-ACCOUNTING
IAS-00000097,GSA-001,VEH-0000865,2025-07-31,2025-07-04,Certified Vehicle Inventory,16440.44,0.00,3698.60,0.00,425.00,0.00,20564.04,0.00,27,SYNTHETIC-DMS-ACCOUNTING
IAS-00000098,GSA-001,VEH-0000885,2025-07-31,2025-07-08,New Vehicle Inventory,33900.17,895.00,163.00,0.00,0.00,0.00,34958.17,33900.17,23,SYNTHETIC-DMS-ACCOUNTING
IAS-00000099,GSA-001,VEH-0000887,2025-07-31,2025-07-03,New Vehicle Inventory,33732.47,895.00,138.00,0.00,0.00,0.00,34765.47,33732.47,28,SYNTHETIC-DMS-ACCOUNTING
IAS-00000100,GSA-001,VEH-0000897,2025-07-31,2025-03-06,New Vehicle Inventory,33310.17,895.00,70.00,0.00,0.00,1332.41,32942.76,33310.17,147,SYNTHETIC-DMS-ACCOUNTING
IAS-00000101,GSA-002,VEH-0000049,2025-07-31,2025-06-05,New Vehicle Inventory,22428.79,895.00,66.00,0.00,0.00,0.00,23389.79,22428.79,56,SYNTHETIC-DMS-ACCOUNTING
IAS-00000102,GSA-002,VEH-0000053,2025-07-31,2025-07-03,Certified Vehicle Inventory,15458.10,0.00,2357.14,0.00,425.00,0.00,18240.24,15458.10,28,SYNTHETIC-DMS-ACCOUNTING
IAS-00000103,GSA-002,VEH-0000066,2025-07-31,2025-05-21,Used Vehicle Inventory,3848.51,0.00,1320.61,0.00,0.00,0.00,5169.12,0.00,71,SYNTHETIC-DMS-ACCOUNTING
IAS-00000104,GSA-002,VEH-0000079,2025-07-31,2025-03-04,Used Vehicle Inventory,14453.61,325.00,2615.86,0.00,0.00,578.14,16816.33,0.00,149,SYNTHETIC-DMS-ACCOUNTING
IAS-00000105,GSA-002,VEH-0000093,2025-07-31,2025-03-13,Certified Vehicle Inventory,12716.87,0.00,2651.40,0.00,425.00,508.67,15284.60,12716.87,140,SYNTHETIC-DMS-ACCOUNTING
IAS-00000106,GSA-002,VEH-0000098,2025-07-31,2025-07-16,New Vehicle Inventory,35649.77,895.00,112.00,0.00,0.00,0.00,36656.77,35649.77,15,SYNTHETIC-DMS-ACCOUNTING
IAS-00000107,GSA-002,VEH-0000126,2025-07-31,2025-06-24,Used Vehicle Inventory,3380.61,0.00,1198.96,0.00,0.00,0.00,4579.57,3380.61,37,SYNTHETIC-DMS-ACCOUNTING
IAS-00000108,GSA-002,VEH-0000133,2025-07-31,2025-06-16,New Vehicle Inventory,34732.17,895.00,58.00,249.00,0.00,0.00,35934.17,34732.17,45,SYNTHETIC-DMS-ACCOUNTING
IAS-00000109,GSA-002,VEH-0000135,2025-07-31,2025-02-12,Used Vehicle Inventory,13310.83,450.00,2268.25,0.00,0.00,532.43,15496.65,13310.83,169,SYNTHETIC-DMS-ACCOUNTING
IAS-00000110,GSA-002,VEH-0000141,2025-07-31,2025-07-22,Certified Vehicle Inventory,6239.13,0.00,1942.17,0.00,425.00,0.00,8606.30,6239.13,9,SYNTHETIC-DMS-ACCOUNTING
IAS-00000111,GSA-002,VEH-0000143,2025-07-31,2025-06-26,Used Vehicle Inventory,21561.51,325.00,748.84,0.00,0.00,0.00,22635.35,21561.51,35,SYNTHETIC-DMS-ACCOUNTING
IAS-00000112,GSA-002,VEH-0000146,2025-07-31,2025-07-23,New Vehicle Inventory,35824.47,895.00,119.00,0.00,0.00,0.00,36838.47,35824.47,8,SYNTHETIC-DMS-ACCOUNTING
IAS-00000113,GSA-002,VEH-0000156,2025-07-31,2025-07-15,New Vehicle Inventory,38110.11,895.00,26.00,0.00,0.00,0.00,39031.11,38110.11,16,SYNTHETIC-DMS-ACCOUNTING
IAS-00000114,GSA-002,VEH-0000173,2025-07-31,2025-07-18,New Vehicle Inventory,36726.99,895.00,84.00,0.00,0.00,0.00,37705.99,36726.99,13,SYNTHETIC-DMS-ACCOUNTING
IAS-00000115,GSA-002,VEH-0000178,2025-07-31,2025-06-27,New Vehicle Inventory,37404.73,895.00,97.00,0.00,0.00,0.00,38396.73,37404.73,34,SYNTHETIC-DMS-ACCOUNTING
IAS-00000116,GSA-002,VEH-0000184,2025-07-31,2025-06-16,Used Vehicle Inventory,20155.67,0.00,1547.62,0.00,0.00,0.00,21703.29,20155.67,45,SYNTHETIC-DMS-ACCOUNTING
IAS-00000117,GSA-002,VEH-0000206,2025-07-31,2025-07-30,New Vehicle Inventory,35399.21,895.00,155.00,0.00,0.00,0.00,36449.21,35399.21,1,SYNTHETIC-DMS-ACCOUNTING
IAS-00000118,GSA-002,VEH-0000209,2025-07-31,2025-06-18,Certified Vehicle Inventory,5804.33,0.00,1829.13,0.00,425.00,0.00,8058.46,5804.33,43,SYNTHETIC-DMS-ACCOUNTING
IAS-00000119,GSA-002,VEH-0000210,2025-07-31,2025-07-24,New Vehicle Inventory,34699.07,895.00,105.00,0.00,0.00,0.00,35699.07,34699.07,7,SYNTHETIC-DMS-ACCOUNTING
IAS-00000120,GSA-002,VEH-0000214,2025-07-31,2025-07-15,New Vehicle Inventory,36744.99,895.00,76.00,0.00,0.00,0.00,37715.99,36744.99,16,SYNTHETIC-DMS-ACCOUNTING
IAS-00000121,GSA-002,VEH-0000215,2025-07-31,2025-07-17,Certified Vehicle Inventory,11693.02,0.00,3360.19,575.00,425.00,0.00,16053.21,11693.02,14,SYNTHETIC-DMS-ACCOUNTING
IAS-00000122,GSA-002,VEH-0000228,2025-07-31,2025-06-26,New Vehicle Inventory,36886.76,895.00,79.00,0.00,0.00,0.00,37860.76,36886.76,35,SYNTHETIC-DMS-ACCOUNTING
IAS-00000123,GSA-002,VEH-0000231,2025-07-31,2025-06-07,Used Vehicle Inventory,5959.33,0.00,1869.43,0.00,0.00,0.00,7828.76,5959.33,54,SYNTHETIC-DMS-ACCOUNTING
IAS-00000124,GSA-002,VEH-0000238,2025-07-31,2025-06-30,Used Vehicle Inventory,32300.25,450.00,1614.72,0.00,0.00,0.00,34364.97,0.00,31,SYNTHETIC-DMS-ACCOUNTING
IAS-00000125,GSA-002,VEH-0000240,2025-07-31,2025-06-14,Certified Vehicle Inventory,5816.18,0.00,1832.21,0.00,425.00,0.00,8073.39,5816.18,47,SYNTHETIC-DMS-ACCOUNTING
IAS-00000126,GSA-002,VEH-0000244,2025-07-31,2025-07-15,New Vehicle Inventory,27724.31,895.00,38.00,0.00,0.00,0.00,28657.31,27724.31,16,SYNTHETIC-DMS-ACCOUNTING
IAS-00000127,GSA-002,VEH-0000246,2025-07-31,2025-07-30,Used Vehicle Inventory,6172.49,325.00,1387.29,0.00,0.00,0.00,7884.78,6172.49,1,SYNTHETIC-DMS-ACCOUNTING
IAS-00000128,GSA-002,VEH-0000247,2025-07-31,2025-03-24,Used Vehicle Inventory,9792.44,450.00,804.06,0.00,0.00,391.70,10654.80,0.00,129,SYNTHETIC-DMS-ACCOUNTING
