appointment_id,created_date,scheduled_date,show_date,dealership_id,lead_id,customer_id,salesperson_id,bdc_employee_id,vehicle_model_id,sale_id,appointment_count,is_confirmed,is_cancelled_in_advance,is_shown,is_test_drive,is_write_up,is_sold,minutes_early_or_late,source_system
APT-00000067,2025-07-07,2025-07-08,2025-07-08,GSA-001,LED-000000212,CUS-00000397,EMP-00001,EMP-00011,VMD-00103,,1,true,false,true,false,true,false,36,arpi_synthetic_generator
APT-00000068,2025-07-08,2025-07-12,2025-07-12,GSA-001,LED-000000023,CUS-00001117,EMP-00003,EMP-00011,VMD-00104,SLE-00000049,1,true,false,true,false,true,true,5,arpi_synthetic_generator
APT-00000069,2025-07-08,2025-07-08,2025-07-08,GSA-003,LED-000000102,CUS-00000506,EMP-00030,,VMD-00007,,1,true,false,true,false,false,false,4,arpi_synthetic_generator
APT-00000070,2025-07-08,2025-07-09,,GSA-001,LED-000000157,CUS-00001648,EMP-00001,EMP-00011,VMD-00044,,1,false,true,false,false,false,false,,arpi_synthetic_generator
APT-00000071,2025-07-08,2025-07-09,2025-07-09,GSA-002,LED-000000182,CUS-00001459,EMP-00020,EMP-00019,VMD-00118,SLE-00000171,1,true,false,true,true,true,true,-3,arpi_synthetic_generator
APT-00000072,2025-07-08,2025-07-12,,GSA-002,LED-000000190,CUS-00000026,EMP-00020,EMP-00019,VMD-00110,,1,false,true,false,false,false,false,,arpi_synthetic_generator
APT-00000073,2025-07-08,2025-07-08,,GSA-001,LED-000000192,CUS-00000070,EMP-00007,EMP-00011,VMD-00113,,1,true,true,false,false,false,false,,arpi_synthetic_generator
APT-00000074,2025-07-08,2025-07-10,,GSA-003,LED-000000221,CUS-00001889,EMP-00030,,,,1,false,true,false,false,false,false,,arpi_synthetic_generator
APT-00000075,2025-07-08,2025-07-08,2025-07-08,GSA-003,LED-000000239,CUS-00000446,EMP-00024,,VMD-00093,,1,true,false,true,false,true,false,5,arpi_synthetic_generator
APT-00000076,2025-07-08,2025-07-08,2025-07-08,GSA-001,LED-000000247,CUS-00000156,EMP-00003,EMP-00011,VMD-00090,SLE-00000039,1,true,false,true,true,true,true,29,arpi_synthetic_generator
APT-00000077,2025-07-08,2025-07-09,2025-07-09,GSA-003,LED-000000252,CUS-00000459,EMP-00030,,,,1,false,false,true,true,false,false,-8,arpi_synthetic_generator
APT-00000078,2025-07-09,2025-07-10,,GSA-002,LED-000000090,CUS-00000081,EMP-00018,EMP-00019,VMD-00047,,1,false,true,false,false,false,false,,arpi_synthetic_generator
APT-00000079,2025-07-09,2025-07-10,,GSA-001,LED-000000114,,EMP-00002,EMP-00011,VMD-00104,,1,true,true,false,false,false,false,,arpi_synthetic_generator
APT-00000080,2025-07-09,2025-07-12,,GSA-003,LED-000000215,,EMP-00025,,VMD-00066,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000081,2025-07-09,2025-07-11,2025-07-11,GSA-002,LED-000000233,CUS-00002257,EMP-00018,EMP-00019,VMD-00074,SLE-00000031,1,true,false,true,true,true,true,4,arpi_synthetic_generator
APT-00000082,2025-07-09,2025-07-09,,GSA-002,LED-000000270,CUS-00000603,EMP-00020,EMP-00019,VMD-00021,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000083,2025-07-09,2025-07-09,2025-07-09,GSA-002,LED-000000275,CUS-00000900,EMP-00020,EMP-00019,VMD-00046,SLE-00000133,1,true,false,true,true,true,true,2,arpi_synthetic_generator
APT-00000084,2025-07-09,2025-07-09,,GSA-001,LED-000000281,CUS-00000016,EMP-00003,EMP-00011,,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000085,2025-07-10,2025-07-10,,GSA-002,LED-000000016,CUS-00002397,EMP-00022,EMP-00019,VMD-00023,,1,false,true,false,false,false,false,,arpi_synthetic_generator
APT-00000086,2025-07-10,2025-07-11,,GSA-001,LED-000000048,CUS-00002098,EMP-00004,EMP-00011,VMD-00062,,1,true,true,false,false,false,false,,arpi_synthetic_generator
APT-00000087,2025-07-10,2025-07-11,2025-07-11,GSA-001,LED-000000049,CUS-00001258,EMP-00007,EMP-00011,VMD-00036,SLE-00000056,1,true,false,true,true,true,true,18,arpi_synthetic_generator
APT-00000088,2025-07-10,2025-07-12,,GSA-002,LED-000000116,CUS-00002011,EMP-00018,EMP-00019,VMD-00096,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000089,2025-07-10,2025-07-11,2025-07-11,GSA-002,LED-000000216,CUS-00002069,EMP-00016,EMP-00019,VMD-00098,SLE-00000034,1,true,false,true,true,true,true,-3,arpi_synthetic_generator
APT-00000090,2025-07-10,2025-07-11,2025-07-11,GSA-002,LED-000000232,CUS-00001385,EMP-00014,EMP-00019,VMD-00014,,1,true,false,true,true,true,false,13,arpi_synthetic_generator
APT-00000091,2025-07-10,2025-07-15,2025-07-15,GSA-001,LED-000000241,CUS-00000233,EMP-00012,EMP-00011,VMD-00090,SLE-00000047,1,false,false,true,true,true,true,28,arpi_synthetic_generator
APT-00000092,2025-07-10,2025-07-16,2025-07-16,GSA-002,LED-000000255,CUS-00000993,EMP-00014,EMP-00019,VMD-00110,SLE-00000161,1,false,false,true,true,true,true,18,arpi_synthetic_generator
APT-00000093,2025-07-10,2025-07-12,2025-07-12,GSA-003,LED-000000263,CUS-00000466,EMP-00030,,VMD-00111,SLE-00000070,1,true,false,true,false,true,true,8,arpi_synthetic_generator
APT-00000094,2025-07-10,2025-07-12,2025-07-12,GSA-002,LED-000000271,CUS-00002255,EMP-00013,EMP-00019,VMD-00047,,1,true,false,true,true,false,false,31,arpi_synthetic_generator
APT-00000095,2025-07-10,2025-07-11,,GSA-001,LED-000000278,CUS-00002051,EMP-00012,EMP-00011,VMD-00017,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000096,2025-07-10,2025-07-12,2025-07-12,GSA-002,LED-000000292,CUS-00000863,EMP-00018,EMP-00019,VMD-00073,SLE-00000068,1,true,false,true,false,true,true,-13,arpi_synthetic_generator
APT-00000097,2025-07-10,2025-07-16,2025-07-16,GSA-002,LED-000000308,CUS-00000111,EMP-00022,EMP-00019,VMD-00110,SLE-00000052,1,true,false,true,true,true,true,18,arpi_synthetic_generator
APT-00000098,2025-07-11,2025-07-14,,GSA-001,LED-000000192,CUS-00000070,EMP-00012,EMP-00011,VMD-00113,,1,true,true,false,false,false,false,,arpi_synthetic_generator
APT-00000099,2025-07-11,2025-07-12,,GSA-001,LED-000000281,CUS-00000016,EMP-00006,EMP-00011,,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000100,2025-07-11,2025-07-15,2025-07-15,GSA-002,LED-000000299,,EMP-00022,EMP-00019,,,1,true,false,true,false,false,false,15,arpi_synthetic_generator
APT-00000101,2025-07-11,2025-07-12,2025-07-12,GSA-001,LED-000000309,CUS-00000255,EMP-00002,EMP-00011,VMD-00115,,1,true,false,true,false,true,false,9,arpi_synthetic_generator
APT-00000102,2025-07-11,2025-07-14,,GSA-001,LED-000000318,CUS-00001730,EMP-00004,EMP-00011,VMD-00091,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000103,2025-07-11,2025-07-17,,GSA-002,LED-000000326,CUS-00000271,EMP-00022,EMP-00019,VMD-00119,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000104,2025-07-11,2025-07-11,,GSA-001,LED-000000332,CUS-00002283,EMP-00004,EMP-00011,VMD-00111,,1,true,true,false,false,false,false,,arpi_synthetic_generator
APT-00000105,2025-07-11,2025-07-15,2025-07-15,GSA-001,LED-000000333,CUS-00000670,EMP-00010,EMP-00011,VMD-00092,,1,true,false,true,true,false,false,7,arpi_synthetic_generator
APT-00000106,2025-07-11,2025-07-17,2025-07-17,GSA-001,LED-000000337,,EMP-00001,EMP-00011,VMD-00092,,1,true,false,true,true,true,false,14,arpi_synthetic_generator
APT-00000107,2025-07-12,2025-07-13,,GSA-001,LED-000000048,CUS-00002098,EMP-00003,EMP-00011,VMD-00062,,1,true,true,false,false,false,false,,arpi_synthetic_generator
APT-00000108,2025-07-12,2025-07-13,,GSA-003,LED-000000130,CUS-00001121,EMP-00025,,VMD-00057,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000109,2025-07-12,2025-07-12,2025-07-12,GSA-003,LED-000000145,CUS-00002261,EMP-00027,,VMD-00091,SLE-00000035,1,true,false,true,false,true,true,-5,arpi_synthetic_generator
APT-00000110,2025-07-12,2025-07-18,2025-07-18,GSA-001,LED-000000210,CUS-00002136,EMP-00002,EMP-00011,VMD-00098,SLE-00000348,1,true,false,true,true,true,true,-9,arpi_synthetic_generator
APT-00000111,2025-07-12,2025-07-16,,GSA-003,LED-000000214,CUS-00000432,EMP-00029,,VMD-00042,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000112,2025-07-12,2025-07-13,2025-07-13,GSA-003,LED-000000266,CUS-00002351,EMP-00026,,VMD-00002,SLE-00000285,1,true,false,true,false,true,true,-11,arpi_synthetic_generator
APT-00000113,2025-07-12,2025-07-13,,GSA-003,LED-000000315,CUS-00000621,EMP-00030,,VMD-00053,,1,true,true,false,false,false,false,,arpi_synthetic_generator
APT-00000114,2025-07-12,2025-07-13,,GSA-002,LED-000000316,CUS-00002397,EMP-00022,EMP-00019,VMD-00109,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000115,2025-07-12,2025-07-13,2025-07-13,GSA-002,LED-000000345,CUS-00002116,EMP-00022,EMP-00019,VMD-00067,,1,true,false,true,false,true,false,13,arpi_synthetic_generator
APT-00000116,2025-07-12,2025-07-12,2025-07-12,GSA-002,LED-000000358,CUS-00001434,EMP-00013,EMP-00019,VMD-00042,,1,true,false,true,false,false,false,-6,arpi_synthetic_generator
APT-00000117,2025-07-13,2025-07-13,,GSA-002,LED-000000116,CUS-00002011,EMP-00014,EMP-00019,VMD-00096,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000118,2025-07-13,2025-07-14,,GSA-003,LED-000000215,,EMP-00026,,VMD-00066,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000119,2025-07-13,2025-07-14,,GSA-001,LED-000000380,CUS-00002256,EMP-00010,EMP-00011,VMD-00062,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000120,2025-07-13,2025-07-16,2025-07-16,GSA-003,LED-000000381,,EMP-00027,,,,1,true,false,true,false,false,false,35,arpi_synthetic_generator
APT-00000121,2025-07-13,2025-07-13,2025-07-13,GSA-003,LED-000000384,CUS-00001801,EMP-00029,,VMD-00023,SLE-00000043,1,true,false,true,true,true,true,21,arpi_synthetic_generator
APT-00000122,2025-07-13,2025-07-14,,GSA-003,LED-000000385,CUS-00000466,EMP-00024,,VMD-00035,,1,true,true,false,false,false,false,,arpi_synthetic_generator
APT-00000123,2025-07-14,2025-07-14,,GSA-001,LED-000000048,CUS-00002098,EMP-00003,EMP-00011,VMD-00062,,1,false,true,false,false,false,false,,arpi_synthetic_generator
APT-00000124,2025-07-14,2025-07-14,2025-07-14,GSA-002,LED-000000190,CUS-00000026,EMP-00014,EMP-00019,VMD-00110,,1,true,false,true,true,false,false,11,arpi_synthetic_generator
APT-00000125,2025-07-14,2025-07-15,2025-07-15,GSA-002,LED-000000406,CUS-00001837,EMP-00013,EMP-00019,VMD-00109,SLE-00000060,1,true,false,true,true,true,true,9,arpi_synthetic_generator
APT-00000126,2025-07-14,2025-07-15,,GSA-002,LED-000000407,CUS-00001261,EMP-00013,EMP-00019,VMD-00109,,1,false,true,false,false,false,false,,arpi_synthetic_generator
APT-00000127,2025-07-14,2025-07-14,2025-07-14,GSA-001,LED-000000412,CUS-00001532,EMP-00006,EMP-00011,VMD-00089,SLE-00000251,1,true,false,true,true,true,true,-2,arpi_synthetic_generator
APT-00000128,2025-07-14,2025-07-16,,GSA-001,LED-000000415,CUS-00000216,EMP-00006,EMP-00011,VMD-00104,,1,false,true,false,false,false,false,,arpi_synthetic_generator
APT-00000129,2025-07-14,2025-07-14,,GSA-001,LED-000000423,CUS-00002426,EMP-00010,EMP-00011,VMD-00113,,1,true,true,false,false,false,false,,arpi_synthetic_generator
APT-00000130,2025-07-14,2025-07-16,,GSA-001,LED-000000424,CUS-00001117,EMP-00010,EMP-00011,VMD-00103,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000131,2025-07-14,2025-07-14,2025-07-14,GSA-001,LED-000000426,CUS-00002008,EMP-00006,EMP-00011,VMD-00081,,1,true,false,true,false,false,false,-37,arpi_synthetic_generator
APT-00000132,2025-07-14,2025-07-14,,GSA-003,LED-000000434,CUS-00001109,EMP-00027,,VMD-00045,,1,false,true,false,false,false,false,,arpi_synthetic_generator
APT-00000133,2025-07-14,2025-07-14,2025-07-14,GSA-002,LED-000000435,CUS-00001180,EMP-00013,EMP-00019,VMD-00024,SLE-00000038,1,true,false,true,false,true,true,6,arpi_synthetic_generator
APT-00000134,2025-07-14,2025-07-15,2025-07-15,GSA-003,LED-000000437,CUS-00000719,EMP-00027,,VMD-00113,,1,true,false,true,false,true,false,23,arpi_synthetic_generator
APT-00000135,2025-07-15,2025-07-19,,GSA-001,LED-000000149,CUS-00001717,EMP-00001,EMP-00011,VMD-00009,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000136,2025-07-15,2025-07-18,2025-07-18,GSA-001,LED-000000192,CUS-00000070,EMP-00003,EMP-00011,VMD-00113,,1,true,false,true,true,true,false,10,arpi_synthetic_generator
APT-00000137,2025-07-15,2025-07-15,,GSA-003,LED-000000222,CUS-00001750,EMP-00025,,VMD-00044,,1,false,true,false,false,false,false,,arpi_synthetic_generator
APT-00000138,2025-07-15,2025-07-16,2025-07-16,GSA-001,LED-000000281,CUS-00000016,EMP-00001,EMP-00011,,,1,true,false,true,false,true,false,-2,arpi_synthetic_generator
APT-00000139,2025-07-15,2025-07-15,2025-07-15,GSA-002,LED-000000344,CUS-00002075,EMP-00015,EMP-00019,,,1,true,false,true,true,true,false,-16,arpi_synthetic_generator
APT-00000140,2025-07-15,2025-07-17,,GSA-001,LED-000000350,CUS-00000668,EMP-00002,EMP-00011,VMD-00088,,1,false,false,false,false,false,false,,arpi_synthetic_generator
APT-00000141,2025-07-15,2025-07-15,,GSA-001,LED-000000380,CUS-00002256,EMP-00002,EMP-00011,VMD-00062,,1,true,false,false,false,false,false,,arpi_synthetic_generator
APT-00000142,2025-07-15,2025-07-15,2025-07-15,GSA-002,LED-000000390,CUS-00001057,EMP-00014,EMP-00019,VMD-00104,,1,true,false,true,false,true,false,11,arpi_synthetic_generator
APT-00000143,2025-07-15,2025-07-15,2025-07-15,GSA-002,LED-000000393,CUS-00000532,EMP-00016,EMP-00019,VMD-00032,SLE-00000051,1,true,false,true,true,true,true,21,arpi_synthetic_generator
APT-00000144,2025-07-15,2025-07-15,,GSA-003,LED-000000405,CUS-00001981,EMP-00030,,,,1,true,true,false,false,false,false,,arpi_synthetic_generator
