customer_key,customer_id,household_id,age_band,county,state_code,market_area,customer_type,is_prior_customer,is_service_customer,first_interaction_date,source_system
35,CUS-00000035,HH-00000029,35-44,Strafford,NH,Southern New Hampshire,Retail,false,false,2025-07-08,arpi_synthetic_generator
36,CUS-00000036,HH-00000030,35-44,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-10-27,arpi_synthetic_generator
37,CUS-00000037,HH-00000031,18-24,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-02-04,arpi_synthetic_generator
38,CUS-00000038,HH-00000032,55-64,Strafford,NH,Southern New Hampshire,Retail,false,false,2025-01-14,arpi_synthetic_generator
39,CUS-00000039,HH-00000033,35-44,Rockingham,NH,Southern New Hampshire,Retail,true,false,2025-06-10,arpi_synthetic_generator
40,CUS-00000040,HH-00000034,55-64,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-02-24,arpi_synthetic_generator
41,CUS-00000041,HH-00000035,55-64,Middlesex,MA,Northern Massachusetts,Retail,false,true,2025-03-04,arpi_synthetic_generator
42,CUS-00000042,HH-00000035,55-64,Middlesex,MA,Northern Massachusetts,Retail,false,false,2025-09-10,arpi_synthetic_generator
43,CUS-00000043,HH-00000036,55-64,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-01-04,arpi_synthetic_generator
44,CUS-00000044,HH-00000036,55-64,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-07-03,arpi_synthetic_generator
45,CUS-00000045,HH-00000037,25-34,Strafford,NH,Southern New Hampshire,Business,true,false,2025-03-27,arpi_synthetic_generator
46,CUS-00000046,HH-00000038,25-34,Rockingham,NH,Southern New Hampshire,Retail,false,false,2025-03-09,arpi_synthetic_generator
47,CUS-00000047,HH-00000039,55-64,Rockingham,NH,Southern New Hampshire,Retail,false,false,2025-12-26,arpi_synthetic_generator
48,CUS-00000048,HH-00000040,35-44,Merrimack,NH,Southern New Hampshire,Retail,true,false,2025-06-05,arpi_synthetic_generator
49,CUS-00000049,HH-00000040,18-24,Merrimack,NH,Southern New Hampshire,Retail,true,true,2025-01-27,arpi_synthetic_generator
50,CUS-00000050,HH-00000040,35-44,Merrimack,NH,Southern New Hampshire,Retail,false,false,2025-11-30,arpi_synthetic_generator
51,CUS-00000051,HH-00000041,18-24,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-01-19,arpi_synthetic_generator
52,CUS-00000052,HH-00000042,45-54,Rockingham,NH,Southern New Hampshire,Retail,false,false,2025-02-26,arpi_synthetic_generator
53,CUS-00000053,HH-00000042,25-34,Rockingham,NH,Southern New Hampshire,Retail,false,true,2025-09-29,arpi_synthetic_generator
54,CUS-00000054,HH-00000043,55-64,Essex,MA,Northern Massachusetts,Retail,false,false,2025-05-12,arpi_synthetic_generator
55,CUS-00000055,HH-00000044,25-34,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-11-12,arpi_synthetic_generator
56,CUS-00000056,HH-00000045,35-44,Hillsborough,NH,Southern New Hampshire,Business,false,false,2025-08-17,arpi_synthetic_generator
57,CUS-00000057,HH-00000045,35-44,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-08-20,arpi_synthetic_generator
58,CUS-00000058,HH-00000046,65+,Middlesex,MA,Northern Massachusetts,Retail,false,true,2025-03-13,arpi_synthetic_generator
59,CUS-00000059,HH-00000047,18-24,Middlesex,MA,Northern Massachusetts,Retail,false,false,2025-12-14,arpi_synthetic_generator
60,CUS-00000060,HH-00000048,65+,Rockingham,NH,Southern New Hampshire,Retail,false,true,2025-04-15,arpi_synthetic_generator
61,CUS-00000061,HH-00000049,45-54,Essex,MA,Northern Massachusetts,Retail,false,false,2025-11-01,arpi_synthetic_generator
62,CUS-00000062,HH-00000050,25-34,Essex,MA,Northern Massachusetts,Retail,false,false,2025-05-26,arpi_synthetic_generator
63,CUS-00000063,HH-00000050,55-64,Essex,MA,Northern Massachusetts,Business,true,false,2025-06-01,arpi_synthetic_generator
64,CUS-00000064,HH-00000051,45-54,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-02-03,arpi_synthetic_generator
65,CUS-00000065,HH-00000052,35-44,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-06-27,arpi_synthetic_generator
66,CUS-00000066,HH-00000053,35-44,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-04-21,arpi_synthetic_generator
67,CUS-00000067,HH-00000053,65+,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-11-22,arpi_synthetic_generator
68,CUS-00000068,HH-00000054,45-54,Rockingham,NH,Southern New Hampshire,Retail,true,false,2025-04-15,arpi_synthetic_generator
69,CUS-00000069,HH-00000055,35-44,Essex,MA,Northern Massachusetts,Retail,false,true,2025-09-12,arpi_synthetic_generator
70,CUS-00000070,HH-00000056,45-54,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-03-14,arpi_synthetic_generator
71,CUS-00000071,HH-00000057,25-34,Essex,MA,Northern Massachusetts,Retail,true,true,2025-01-30,arpi_synthetic_generator
72,CUS-00000072,HH-00000058,55-64,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-03-15,arpi_synthetic_generator
73,CUS-00000073,HH-00000059,25-34,Merrimack,NH,Southern New Hampshire,Retail,false,false,2025-04-02,arpi_synthetic_generator
74,CUS-00000074,HH-00000060,25-34,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-06-11,arpi_synthetic_generator
75,CUS-00000075,HH-00000060,45-54,Hillsborough,NH,Southern New Hampshire,Business,false,true,2025-08-22,arpi_synthetic_generator
76,CUS-00000076,HH-00000061,55-64,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-01-13,arpi_synthetic_generator
77,CUS-00000077,HH-00000062,35-44,Rockingham,NH,Southern New Hampshire,Retail,false,true,2025-01-09,arpi_synthetic_generator
78,CUS-00000078,HH-00000063,35-44,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-05-16,arpi_synthetic_generator
79,CUS-00000079,HH-00000064,45-54,Rockingham,NH,Southern New Hampshire,Retail,false,false,2025-09-11,arpi_synthetic_generator
80,CUS-00000080,HH-00000065,55-64,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-04-29,arpi_synthetic_generator
81,CUS-00000081,HH-00000066,25-34,Essex,MA,Northern Massachusetts,Retail,true,true,2025-05-21,arpi_synthetic_generator
82,CUS-00000082,HH-00000066,25-34,Essex,MA,Northern Massachusetts,Retail,false,false,2025-09-09,arpi_synthetic_generator
83,CUS-00000083,HH-00000066,45-54,Essex,MA,Northern Massachusetts,Business,false,false,2025-02-12,arpi_synthetic_generator
84,CUS-00000084,HH-00000067,65+,Merrimack,NH,Southern New Hampshire,Retail,false,false,2025-10-02,arpi_synthetic_generator
85,CUS-00000085,HH-00000068,65+,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-03-14,arpi_synthetic_generator
86,CUS-00000086,HH-00000069,25-34,Merrimack,NH,Southern New Hampshire,Business,false,false,2025-06-16,arpi_synthetic_generator
87,CUS-00000087,HH-00000070,45-54,Merrimack,NH,Southern New Hampshire,Retail,false,true,2025-06-03,arpi_synthetic_generator
88,CUS-00000088,HH-00000070,25-34,Merrimack,NH,Southern New Hampshire,Retail,true,true,2025-05-09,arpi_synthetic_generator
89,CUS-00000089,HH-00000071,65+,Merrimack,NH,Southern New Hampshire,Retail,false,false,2025-01-05,arpi_synthetic_generator
90,CUS-00000090,HH-00000072,35-44,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-01-14,arpi_synthetic_generator
91,CUS-00000091,HH-00000073,45-54,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-09-16,arpi_synthetic_generator
92,CUS-00000092,HH-00000074,25-34,Rockingham,NH,Southern New Hampshire,Retail,true,true,2025-01-24,arpi_synthetic_generator
93,CUS-00000093,HH-00000074,55-64,Rockingham,NH,Southern New Hampshire,Retail,false,false,2025-05-08,arpi_synthetic_generator
94,CUS-00000094,HH-00000075,25-34,Rockingham,NH,Southern New Hampshire,Retail,false,false,2025-09-11,arpi_synthetic_generator
95,CUS-00000095,HH-00000076,55-64,Middlesex,MA,Northern Massachusetts,Retail,true,false,2025-01-25,arpi_synthetic_generator
96,CUS-00000096,HH-00000077,18-24,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-06-18,arpi_synthetic_generator
97,CUS-00000097,HH-00000078,18-24,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-02-17,arpi_synthetic_generator
98,CUS-00000098,HH-00000079,18-24,Rockingham,NH,Southern New Hampshire,Retail,true,false,2025-06-20,arpi_synthetic_generator
99,CUS-00000099,HH-00000080,45-54,Middlesex,MA,Northern Massachusetts,Retail,false,false,2025-04-29,arpi_synthetic_generator
100,CUS-00000100,HH-00000081,35-44,Middlesex,MA,Northern Massachusetts,Retail,false,false,2025-09-24,arpi_synthetic_generator
101,CUS-00000101,HH-00000082,18-24,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-07-26,arpi_synthetic_generator
102,CUS-00000102,HH-00000083,35-44,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-10-21,arpi_synthetic_generator
103,CUS-00000103,HH-00000084,35-44,Rockingham,NH,Southern New Hampshire,Retail,false,false,2025-01-25,arpi_synthetic_generator
104,CUS-00000104,HH-00000085,35-44,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-02-27,arpi_synthetic_generator
105,CUS-00000105,HH-00000085,25-34,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-10-18,arpi_synthetic_generator
106,CUS-00000106,HH-00000086,65+,Rockingham,NH,Southern New Hampshire,Retail,false,true,2025-05-15,arpi_synthetic_generator
107,CUS-00000107,HH-00000087,25-34,Merrimack,NH,Southern New Hampshire,Retail,false,true,2025-02-26,arpi_synthetic_generator
108,CUS-00000108,HH-00000088,55-64,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-12-28,arpi_synthetic_generator
109,CUS-00000109,HH-00000088,65+,Hillsborough,NH,Southern New Hampshire,Retail,true,false,2025-01-07,arpi_synthetic_generator
110,CUS-00000110,HH-00000088,25-34,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-11-06,arpi_synthetic_generator
111,CUS-00000111,HH-00000089,55-64,Rockingham,NH,Southern New Hampshire,Retail,false,true,2025-03-10,arpi_synthetic_generator
112,CUS-00000112,HH-00000090,55-64,Rockingham,NH,Southern New Hampshire,Retail,true,false,2025-04-29,arpi_synthetic_generator
113,CUS-00000113,HH-00000090,25-34,Rockingham,NH,Southern New Hampshire,Retail,true,false,2025-03-13,arpi_synthetic_generator
114,CUS-00000114,HH-00000091,25-34,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-04-10,arpi_synthetic_generator
115,CUS-00000115,HH-00000091,65+,Hillsborough,NH,Southern New Hampshire,Retail,true,false,2025-05-18,arpi_synthetic_generator
116,CUS-00000116,HH-00000092,55-64,Rockingham,NH,Southern New Hampshire,Business,false,false,2025-08-02,arpi_synthetic_generator
117,CUS-00000117,HH-00000093,65+,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-10-15,arpi_synthetic_generator
118,CUS-00000118,HH-00000094,25-34,Middlesex,MA,Northern Massachusetts,Business,true,false,2025-02-20,arpi_synthetic_generator
119,CUS-00000119,HH-00000095,65+,Rockingham,NH,Southern New Hampshire,Retail,false,true,2025-06-30,arpi_synthetic_generator
120,CUS-00000120,HH-00000096,65+,Merrimack,NH,Southern New Hampshire,Retail,true,true,2025-05-14,arpi_synthetic_generator
121,CUS-00000121,HH-00000097,55-64,Middlesex,MA,Northern Massachusetts,Retail,true,true,2025-04-22,arpi_synthetic_generator
122,CUS-00000122,HH-00000098,65+,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-01-02,arpi_synthetic_generator
123,CUS-00000123,HH-00000099,25-34,Rockingham,NH,Southern New Hampshire,Retail,false,false,2025-02-07,arpi_synthetic_generator
124,CUS-00000124,HH-00000100,35-44,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-06-08,arpi_synthetic_generator
125,CUS-00000125,HH-00000101,18-24,Merrimack,NH,Southern New Hampshire,Retail,false,true,2025-04-27,arpi_synthetic_generator
126,CUS-00000126,HH-00000101,25-34,Merrimack,NH,Southern New Hampshire,Retail,false,true,2025-02-07,arpi_synthetic_generator
127,CUS-00000127,HH-00000101,35-44,Merrimack,NH,Southern New Hampshire,Retail,false,false,2025-06-07,arpi_synthetic_generator
128,CUS-00000128,HH-00000102,65+,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-05-28,arpi_synthetic_generator
129,CUS-00000129,HH-00000103,18-24,Middlesex,MA,Northern Massachusetts,Retail,false,false,2025-05-03,arpi_synthetic_generator
130,CUS-00000130,HH-00000104,25-34,Middlesex,MA,Northern Massachusetts,Business,false,false,2025-11-05,arpi_synthetic_generator
131,CUS-00000131,HH-00000104,65+,Middlesex,MA,Northern Massachusetts,Retail,true,true,2025-02-16,arpi_synthetic_generator
132,CUS-00000132,HH-00000105,35-44,Hillsborough,NH,Southern New Hampshire,Business,false,false,2025-01-13,arpi_synthetic_generator
133,CUS-00000133,HH-00000106,45-54,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-05-10,arpi_synthetic_generator
134,CUS-00000134,HH-00000107,55-64,Merrimack,NH,Southern New Hampshire,Retail,true,true,2025-05-08,arpi_synthetic_generator
135,CUS-00000135,HH-00000108,25-34,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-12-04,arpi_synthetic_generator
136,CUS-00000136,HH-00000108,45-54,Hillsborough,NH,Southern New Hampshire,Business,true,false,2025-01-11,arpi_synthetic_generator
137,CUS-00000137,HH-00000108,55-64,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-04-13,arpi_synthetic_generator
138,CUS-00000138,HH-00000109,35-44,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-01-12,arpi_synthetic_generator
139,CUS-00000139,HH-00000110,35-44,Strafford,NH,Southern New Hampshire,Retail,false,false,2025-01-20,arpi_synthetic_generator
140,CUS-00000140,HH-00000111,65+,Middlesex,MA,Northern Massachusetts,Retail,false,false,2025-12-09,arpi_synthetic_generator
141,CUS-00000141,HH-00000111,25-34,Middlesex,MA,Northern Massachusetts,Retail,false,false,2025-12-06,arpi_synthetic_generator
142,CUS-00000142,HH-00000112,45-54,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-06-18,arpi_synthetic_generator
143,CUS-00000143,HH-00000113,25-34,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-03-26,arpi_synthetic_generator
144,CUS-00000144,HH-00000113,25-34,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-05-24,arpi_synthetic_generator
145,CUS-00000145,HH-00000113,55-64,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-01-20,arpi_synthetic_generator
146,CUS-00000146,HH-00000114,35-44,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-02-22,arpi_synthetic_generator
147,CUS-00000147,HH-00000115,25-34,Middlesex,MA,Northern Massachusetts,Retail,false,false,2025-02-21,arpi_synthetic_generator
148,CUS-00000148,HH-00000116,25-34,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-03-04,arpi_synthetic_generator
149,CUS-00000149,HH-00000117,65+,Hillsborough,NH,Southern New Hampshire,Business,false,false,2025-07-16,arpi_synthetic_generator
150,CUS-00000150,HH-00000118,18-24,Merrimack,NH,Southern New Hampshire,Business,true,false,2025-02-03,arpi_synthetic_generator
151,CUS-00000151,HH-00000119,35-44,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-01-23,arpi_synthetic_generator
152,CUS-00000152,HH-00000120,65+,Strafford,NH,Southern New Hampshire,Retail,false,false,2025-09-11,arpi_synthetic_generator
153,CUS-00000153,HH-00000121,45-54,Hillsborough,NH,Southern New Hampshire,Retail,true,false,2025-06-29,arpi_synthetic_generator
154,CUS-00000154,HH-00000121,45-54,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-09-29,arpi_synthetic_generator
155,CUS-00000155,HH-00000121,65+,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-07-01,arpi_synthetic_generator
156,CUS-00000156,HH-00000122,35-44,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-05-17,arpi_synthetic_generator
157,CUS-00000157,HH-00000123,18-24,Middlesex,MA,Northern Massachusetts,Retail,false,false,2025-04-23,arpi_synthetic_generator
158,CUS-00000158,HH-00000124,35-44,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-12-03,arpi_synthetic_generator
159,CUS-00000159,HH-00000124,45-54,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-05-13,arpi_synthetic_generator
160,CUS-00000160,HH-00000124,25-34,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-02-28,arpi_synthetic_generator
161,CUS-00000161,HH-00000125,55-64,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-06-21,arpi_synthetic_generator
162,CUS-00000162,HH-00000126,25-34,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-11-08,arpi_synthetic_generator
163,CUS-00000163,HH-00000127,35-44,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-02-08,arpi_synthetic_generator
164,CUS-00000164,HH-00000128,25-34,Middlesex,MA,Northern Massachusetts,Retail,false,true,2025-08-26,arpi_synthetic_generator
165,CUS-00000165,HH-00000128,35-44,Middlesex,MA,Northern Massachusetts,Retail,true,true,2025-05-07,arpi_synthetic_generator
166,CUS-00000166,HH-00000129,35-44,Essex,MA,Northern Massachusetts,Retail,false,true,2025-12-14,arpi_synthetic_generator
167,CUS-00000167,HH-00000130,25-34,Rockingham,NH,Southern New Hampshire,Retail,false,false,2025-07-11,arpi_synthetic_generator
168,CUS-00000168,HH-00000131,55-64,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-01-02,arpi_synthetic_generator
169,CUS-00000169,HH-00000131,65+,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-06-29,arpi_synthetic_generator
170,CUS-00000170,HH-00000132,25-34,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-12-26,arpi_synthetic_generator
171,CUS-00000171,HH-00000133,45-54,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-08-04,arpi_synthetic_generator
172,CUS-00000172,HH-00000133,35-44,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-10-19,arpi_synthetic_generator
173,CUS-00000173,HH-00000134,35-44,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-03-25,arpi_synthetic_generator
174,CUS-00000174,HH-00000134,35-44,Hillsborough,NH,Southern New Hampshire,Business,true,false,2025-01-23,arpi_synthetic_generator
175,CUS-00000175,HH-00000134,35-44,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-01-08,arpi_synthetic_generator
176,CUS-00000176,HH-00000135,45-54,Rockingham,NH,Southern New Hampshire,Retail,true,true,2025-04-30,arpi_synthetic_generator
177,CUS-00000177,HH-00000136,65+,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-03-04,arpi_synthetic_generator
178,CUS-00000178,HH-00000137,35-44,Middlesex,MA,Northern Massachusetts,Retail,false,false,2025-11-01,arpi_synthetic_generator
179,CUS-00000179,HH-00000138,35-44,Strafford,NH,Southern New Hampshire,Retail,false,false,2025-08-07,arpi_synthetic_generator
180,CUS-00000180,HH-00000138,25-34,Strafford,NH,Southern New Hampshire,Retail,false,false,2025-09-30,arpi_synthetic_generator
181,CUS-00000181,HH-00000139,35-44,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-06-29,arpi_synthetic_generator
182,CUS-00000182,HH-00000139,55-64,Hillsborough,NH,Southern New Hampshire,Retail,true,false,2025-02-23,arpi_synthetic_generator
183,CUS-00000183,HH-00000139,55-64,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-11-06,arpi_synthetic_generator
184,CUS-00000184,HH-00000140,55-64,Middlesex,MA,Northern Massachusetts,Retail,false,false,2025-04-05,arpi_synthetic_generator
185,CUS-00000185,HH-00000141,55-64,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-06-06,arpi_synthetic_generator
186,CUS-00000186,HH-00000141,25-34,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-05-29,arpi_synthetic_generator
187,CUS-00000187,HH-00000142,25-34,Merrimack,NH,Southern New Hampshire,Retail,false,false,2025-11-03,arpi_synthetic_generator
188,CUS-00000188,HH-00000143,65+,Essex,MA,Northern Massachusetts,Retail,false,false,2025-02-14,arpi_synthetic_generator
189,CUS-00000189,HH-00000144,65+,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-09-09,arpi_synthetic_generator
190,CUS-00000190,HH-00000145,35-44,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-02-21,arpi_synthetic_generator
191,CUS-00000191,HH-00000146,55-64,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-07-26,arpi_synthetic_generator
192,CUS-00000192,HH-00000147,55-64,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-03-26,arpi_synthetic_generator
193,CUS-00000193,HH-00000147,25-34,Hillsborough,NH,Southern New Hampshire,Business,false,false,2025-10-28,arpi_synthetic_generator
194,CUS-00000194,HH-00000147,55-64,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-12-21,arpi_synthetic_generator
195,CUS-00000195,HH-00000148,25-34,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-12-22,arpi_synthetic_generator
196,CUS-00000196,HH-00000149,45-54,Strafford,NH,Southern New Hampshire,Retail,false,true,2025-08-09,arpi_synthetic_generator
197,CUS-00000197,HH-00000150,45-54,Rockingham,NH,Southern New Hampshire,Retail,true,true,2025-05-12,arpi_synthetic_generator
198,CUS-00000198,HH-00000151,18-24,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-07-03,arpi_synthetic_generator
199,CUS-00000199,HH-00000152,25-34,Hillsborough,NH,Southern New Hampshire,Retail,false,true,2025-12-18,arpi_synthetic_generator
200,CUS-00000200,HH-00000153,65+,Rockingham,NH,Southern New Hampshire,Retail,false,false,2025-07-21,arpi_synthetic_generator
201,CUS-00000201,HH-00000154,18-24,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-05-13,arpi_synthetic_generator
202,CUS-00000202,HH-00000154,25-34,Hillsborough,NH,Southern New Hampshire,Retail,false,false,2025-08-02,arpi_synthetic_generator
203,CUS-00000203,HH-00000155,35-44,Rockingham,NH,Southern New Hampshire,Retail,false,true,2025-03-27,arpi_synthetic_generator
204,CUS-00000204,HH-00000156,25-34,Merrimack,NH,Southern New Hampshire,Retail,true,true,2025-05-30,arpi_synthetic_generator
205,CUS-00000205,HH-00000156,25-34,Merrimack,NH,Southern New Hampshire,Retail,true,true,2025-03-22,arpi_synthetic_generator
206,CUS-00000206,HH-00000157,55-64,Hillsborough,NH,Southern New Hampshire,Retail,true,true,2025-05-10,arpi_synthetic_generator
